"",BBK01.WX0250,BBK01.WX0250_FLAGS
"",Net sales of domestic debt securities at nominal value / Other financial intermediaries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-11 10:15:43,
2008-01,-5,
2008-02,3535,
2008-03,667,
2008-04,1164,
2008-05,2441,
2008-06,707,
2008-07,1677,
2008-08,27628,
2008-09,1066,
2008-10,3180,
2008-11,3487,
2008-12,33884,
2009-01,671,
2009-02,16373,
2009-03,-964,
2009-04,4561,
2009-05,354,
2009-06,3316,
2009-07,1419,
2009-08,828,
2009-09,318,
2009-10,1506,
2009-11,943,
2009-12,-1708,
2010-01,2378,
2010-02,1737,
2010-03,4469,
2010-04,1071,
2010-05,744,
2010-06,1184,
2010-07,1307,
2010-08,2612,
2010-09,-621,
2010-10,2013,
2010-11,4217,
2010-12,-1095,
2011-01,9900,
2011-02,7039,
2011-03,-452,
2011-04,1394,
2011-05,558,
2011-06,3082,
2011-07,-634,
2011-08,-1673,
2011-09,-4219,
2011-10,-11297,
2011-11,-3581,
2011-12,-6624,
2012-01,-3573,
2012-02,-3356,
2012-03,-3551,
2012-04,-971,
2012-05,-2196,
2012-06,-4948,
2012-07,-1805,
2012-08,-3425,
2012-09,-3543,
2012-10,-3100,
2012-11,2815,
2012-12,-2544,
2013-01,-3947,
2013-02,1862,
2013-03,1653,
2013-04,-560,
2013-05,-1279,
2013-06,-1185,
2013-07,332,
2013-08,-698,
2013-09,-2245,
2013-10,1617,
2013-11,-565,
2013-12,-2942,
2014-01,-1593,
2014-02,2658,
2014-03,1038,
2014-04,4458,
2014-05,-102,
2014-06,-3121,
2014-07,47,
2014-08,-691,
2014-09,533,
2014-10,-1664,
2014-11,-2035,
2014-12,-1560,
"",General: Excluding insurance corporations; including financial auxiliaries; revised figures from 2006 onwards,
