"",BBK01.OEXJ04J,BBK01.OEXJ04J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:42,
2002-01,0.127,
2002-04,0.115,
2002-07,0.123,
2002-10,0.105,
2003-01,0.129,
2003-04,0.129,
2003-07,0.140,
2003-10,0.150,
2004-01,0.167,
2004-04,0.132,
2004-07,0.149,
2004-10,0.147,
2005-01,0.163,
2005-04,0.170,
2005-07,0.189,
2005-10,0.221,
2006-01,0.242,
2006-04,0.230,
2006-07,0.185,
2006-10,0.169,
2007-01,0.212,
2007-04,0.169,
2007-07,0.204,
2007-10,0.268,
2008-01,0.271,
2008-04,0.290,
2008-07,0.331,
2008-10,0.333,
2009-01,0.315,
2009-04,0.269,
2009-07,0.315,
2009-10,0.358,
2010-01,0.322,
2010-04,0.261,
2010-07,0.334,
2010-10,0.357,
2011-01,0.313,
2011-04,0.311,
2011-07,0.370,
2011-10,0.384,
2012-01,0.416,
2012-04,0.316,
2012-07,0.380,
2012-10,0.358,
2013-01,0.326,
2013-04,0.344,
2013-07,0.398,
2013-10,0.392,
2014-01,0.530,
2014-04,0.529,
2014-07,0.573,
