"",BBK01.OEAD25P,BBK01.OEAD25P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:00:05,
2002-01,0.020,
2002-04,0.022,
2002-07,0.025,
2002-10,0.018,
2003-01,0.022,
2003-04,0.028,
2003-07,0.026,
2003-10,0.021,
2004-01,0.022,
2004-04,0.022,
2004-07,0.022,
2004-10,0.017,
2005-01,0.023,
2005-04,0.025,
2005-07,0.022,
2005-10,0.021,
2006-01,0.021,
2006-04,0.023,
2006-07,0.021,
2006-10,0.018,
2007-01,0.019,
2007-04,0.017,
2007-07,0.015,
2007-10,0.015,
2008-01,0.018,
2008-04,0.033,
2008-07,0.032,
2008-10,0.039,
2009-01,0.028,
2009-04,0.029,
2009-07,0.028,
2009-10,0.027,
2010-01,0.033,
2010-04,0.039,
2010-07,0.042,
2010-10,0.034,
2011-01,0.042,
2011-04,0.049,
2011-07,0.051,
2011-10,0.051,
2012-01,0.051,
2012-04,0.050,
2012-07,0.054,
2012-10,0.052,
2013-01,0.049,
2013-04,0.040,
2013-07,0.039,
2013-10,0.038,
2014-01,0.037,
2014-04,0.038,
2014-07,0.035,
