"",BBSF2.M.1.P.00000.AKT01.I.F.BGH.DE.00122.000000.EUR.00,BBSF2.M.1.P.00000.AKT01.I.F.BGH.DE.00122.000000.EUR.00_FLAGS
"",Public funds / Equity funds / Deposits and loan claims / Germany / Monetary financial institutes (MFIs) / Denominated in Euro,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:07,
2009-09,3382,
2009-10,3472,
2009-11,3542,
2009-12,3367,
2010-01,3381,
2010-02,3180,
2010-03,2993,
2010-04,2696,
2010-05,2894,
2010-06,3241,
2010-07,3305,
2010-08,3880,
2010-09,3595,
2010-10,2853,
2010-11,2666,
2010-12,2472,
2011-01,3032,
2011-02,3656,
2011-03,3226,
2011-04,3806,
2011-05,3897,
2011-06,4093,
2011-07,3423,
2011-08,3399,
2011-09,3046,
2011-10,3443,
2011-11,3440,
2011-12,3268,
2012-01,3462,
2012-02,3797,
2012-03,3771,
2012-04,3885,
2012-05,4156,
2012-06,3932,
2012-07,3589,
2012-08,3202,
2012-09,3040,
2012-10,3395,
2012-11,3022,
2012-12,2722,
2013-01,2985,
2013-02,2196,
2013-03,1996,
2013-04,2323,
2013-05,2220,
2013-06,2266,
2013-07,2778,
2013-08,2639,
2013-09,2428,
2013-10,2385,
2013-11,2442,
2013-12,2588,
2014-01,1950,
2014-02,2260,
2014-03,2386,
2014-04,2346,
2014-05,2958,
2014-06,2731,
2014-07,2811,
2014-08,2651,
2014-09,3016,
2014-10,2668,
2014-11,3783,
