"",BBSF2.M.1.S.00000.REN01.A.F.ANZ.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.REN01.A.F.ANZ.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Bonds funds / Number / Distribution funds,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:49:34,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,578,
1993-05,584,
1993-06,587,
1993-07,606,
1993-08,616,
1993-09,631,
1993-10,635,
1993-11,642,
1993-12,659,
1994-01,662,
1994-02,672,
1994-03,682,
1994-04,689,
1994-05,703,
1994-06,713,
1994-07,719,
1994-08,732,
1994-09,739,
1994-10,740,
1994-11,742,
1994-12,750,
1995-01,752,
1995-02,762,
1995-03,766,
1995-04,771,
1995-05,771,
1995-06,772,
1995-07,769,
1995-08,771,
1995-09,770,
1995-10,769,
1995-11,769,
1995-12,786,
1996-01,797,
1996-02,802,
1996-03,816,
1996-04,831,
1996-05,841,
1996-06,850,
1996-07,859,
1996-08,866,
1996-09,870,
1996-10,885,
1996-11,892,
1996-12,898,
1997-01,911,
1997-02,920,
1997-03,937,
1997-04,954,
1997-05,962,
1997-06,975,
1997-07,988,
1997-08,1007,
1997-09,1018,
1997-10,1027,
1997-11,1034,
1997-12,1043,
1998-01,1046,
1998-02,1056,
1998-03,1075,
1998-04,1082,
1998-05,1099,
1998-06,1108,
1998-07,1127,
1998-08,1134,
1998-09,1146,
1998-10,1160,
1998-11,1183,
1998-12,1196,
1999-01,1203,
1999-02,1220,
1999-03,1227,
1999-04,1245,
1999-05,1263,
1999-06,1270,
1999-07,1288,
1999-08,1296,
1999-09,1305,
1999-10,1307,
1999-11,1322,
1999-12,1344,
2000-01,1347,
2000-02,1349,
2000-03,1362,
2000-04,1374,
2000-05,1393,
2000-06,1395,
2000-07,1400,
2000-08,1410,
2000-09,1416,
2000-10,1427,
2000-11,1426,
2000-12,1434,
2001-01,1455,
2001-02,1469,
2001-03,1466,
2001-04,1477,
2001-05,1476,
2001-06,1481,
2001-07,1489,
2001-08,1501,
2001-09,1504,
2001-10,1503,
2001-11,1496,
2001-12,1495,
2002-01,1489,
2002-02,1492,
2002-03,1481,
2002-04,1480,
2002-05,1471,
2002-06,1459,
2002-07,1454,
2002-08,1451,
2002-09,1443,
2002-10,1442,
2002-11,1428,
2002-12,1391,
2003-01,1390,
2003-02,1387,
2003-03,1374,
2003-04,1374,
2003-05,1365,
2003-06,1377,
2003-07,1367,
2003-08,1369,
2003-09,1365,
2003-10,1370,
2003-11,1361,
2003-12,1354,
2004-01,1351,
2004-02,1337,
2004-03,1337,
2004-04,1333,
2004-05,1328,
2004-06,1323,
2004-07,1325,
2004-08,1314,
2004-09,1297,
2004-10,1291,
2004-11,1287,
2004-12,1277,
2005-01,1267,
2005-02,1248,
2005-03,1213,
2005-04,1213,
2005-05,1209,
2005-06,1201,
2005-07,1191,
2005-08,1182,
2005-09,1161,
2005-10,1148,
2005-11,1128,
2005-12,1107,
2006-01,1091,
2006-02,1082,
2006-03,1075,
2006-04,1066,
2006-05,1057,
2006-06,1050,
2006-07,1035,
2006-08,1030,
2006-09,1030,
2006-10,1028,
2006-11,1025,
2006-12,1001,
2007-01,990,
2007-02,985,
2007-03,971,
2007-04,959,
2007-05,944,
2007-06,935,
2007-07,936,
2007-08,925,
2007-09,918,
2007-10,907,
2007-11,902,
2007-12,889,
2008-01,887,
2008-02,883,
2008-03,878,
2008-04,881,
2008-05,879,
2008-06,869,
2008-07,860,
2008-08,858,
2008-09,853,
2008-10,849,
2008-11,853,
2008-12,850,
2009-01,841,
2009-02,838,
2009-03,834,
2009-04,832,
2009-05,811,
2009-06,809,
2009-07,820,
2009-08,821,
2009-09,812,
2009-10,812,
2009-11,794,
2009-12,792,
2010-01,802,
2010-02,804,
2010-03,803,
2010-04,809,
2010-05,809,
2010-06,801,
2010-07,802,
2010-08,803,
2010-09,805,
2010-10,797,
2010-11,795,
2010-12,772,
2011-01,772,
2011-02,779,
2011-03,774,
2011-04,772,
2011-05,769,
2011-06,770,
2011-07,766,
2011-08,765,
2011-09,762,
2011-10,766,
2011-11,752,
2011-12,752,
2012-01,751,
2012-02,750,
2012-03,756,
2012-04,766,
2012-05,774,
2012-06,785,
2012-07,778,
2012-08,787,
2012-09,792,
2012-10,794,
2012-11,782,
2012-12,784,
2013-01,786,
2013-02,784,
2013-03,786,
2013-04,781,
2013-05,771,
2013-06,774,
2013-07,801,
2013-08,798,
2013-09,795,
2013-10,786,
2013-11,783,
2013-12,785,
2014-01,780,
2014-02,773,
2014-03,771,
2014-04,768,
2014-05,764,
2014-06,766,
2014-07,747,
2014-08,747,
2014-09,748,
2014-10,746,
2014-11,743,
