"",BBK01.CELT0J,BBK01.CELT0J_FLAGS
"",Savings deposits  debtor: Total            creditor: Households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:45:41,
1999-01,4.0,
1999-04,-1.6,
1999-07,-1.8,
1999-10,-5.3,
2000-01,-9.8,
2000-04,-12.4,
2000-07,-6.1,
2000-10,-10.6,
2001-01,-2.5,
2001-04,-1.9,
2001-07,1.5,
2001-10,5.7,
2002-01,0.5,
2002-04,-7.7,
2002-07,3.0,
2002-10,5.5,
2003-01,7.5,
2003-04,0.4,
2003-07,4.4,
2003-10,2.1,
2004-01,3.6,
2004-04,1.6,
2004-07,3.8,
2004-10,2.9,
2005-01,3.4,
2005-04,0.4,
2005-07,-1.4,
2005-10,-3.4,
2006-01,1.2,
2006-04,-1.9,
2006-07,-5.0,
2006-10,-9.6,
2007-01,-4.4,
2007-04,-7.5,
2007-07,-7.4,
2007-10,-9.3,
2008-01,-7.7,
2008-04,-6.3,
2008-07,-10.3,
2008-10,5.1,
2009-01,14.6,
2009-04,13.7,
2009-07,16.9,
2009-10,9.2,
2010-01,11.3,
2010-04,1.0,
2010-07,3.4,
2010-10,6.3,
2011-01,7.3,
2011-04,-3.7,
2011-07,-1.6,
2011-10,-3.1,
2012-01,5.1,
2012-04,-1.9,
2012-07,-1.3,
2012-10,-3.1,
2013-01,-2.3,
2013-04,-3.9,
2013-07,-2.2,
2013-10,0.1,
2014-01,-0.5,
2014-04,-2.7,
2014-07,3.0,
