"",BBK01.OEAH29S,BBK01.OEAH29S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:30:18,
2002-01,2.669,
2002-04,2.710,
2002-07,2.715,
2002-10,2.870,
2003-01,2.629,
2003-04,2.645,
2003-07,2.723,
2003-10,3.032,
2004-01,2.713,
2004-04,2.724,
2004-07,2.835,
2004-10,3.179,
2005-01,3.056,
2005-04,2.931,
2005-07,2.968,
2005-10,3.436,
2006-01,3.075,
2006-04,3.152,
2006-07,3.253,
2006-10,3.934,
2007-01,3.627,
2007-04,3.491,
2007-07,3.496,
2007-10,3.867,
2008-01,3.622,
2008-04,3.761,
2008-07,3.845,
2008-10,4.100,
2009-01,3.863,
2009-04,3.847,
2009-07,3.931,
2009-10,4.380,
2010-01,4.254,
2010-04,4.331,
2010-07,4.586,
2010-10,4.843,
2011-01,4.646,
2011-04,4.564,
2011-07,4.738,
2011-10,5.496,
2012-01,5.331,
2012-04,5.337,
2012-07,5.662,
2012-10,5.732,
2013-01,5.364,
2013-04,5.889,
2013-07,6.081,
2013-10,6.043,
2014-01,6.069,
2014-04,6.145,
2014-07,6.473,
