"",BBDA1.M.DE.N.IM.S.A.W1.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.W1.A.V.ABA.A_FLAGS
"","Imports / At current prices, flows / Aggregate / all goods / Rest of the World / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:38:38,
1990-07,23825924,
1990-08,22756691,
1990-09,22827070,
1990-10,27683748,
1990-11,28161287,
1990-12,24906522,
1991-01,28434930,
1991-02,25426706,
1991-03,27255566,
1991-04,28159510,
1991-05,28237403,
1991-06,27158248,
1991-07,29909283,
1991-08,24819615,
1991-09,26336918,
1991-10,29811266,
1991-11,27895284,
1991-12,25783464,
1992-01,27780487,
1992-02,26968387,
1992-03,29639332,
1992-04,29681412,
1992-05,26019007,
1992-06,25313418,
1992-07,29939668,
1992-08,21993226,
1992-09,25603973,
1992-10,28500454,
1992-11,26540043,
1992-12,27992772,
1993-01,22066846,
1993-02,24434639,
1993-03,25510397,
1993-04,25172433,
1993-05,23251510,
1993-06,24186662,
1993-07,24126330,
1993-08,22747887,
1993-09,24561951,
1993-10,24939284,
1993-11,25408650,
1993-12,26007373,
1994-01,22995352,
1994-02,24336982,
1994-03,28680918,
1994-04,25294632,
1994-05,27030979,
1994-06,26887817,
1994-07,26068728,
1994-08,24709203,
1994-09,27237030,
1994-10,27287648,
1994-11,27695659,
1994-12,30270525,
1995-01,25628573,
1995-02,27529963,
1995-03,31578604,
1995-04,26727459,
1995-05,28773618,
1995-06,29508970,
1995-07,27653425,
1995-08,25557429,
1995-09,28728565,
1995-10,29622564,
1995-11,29140731,
1995-12,29167600,
1996-01,29299700,
1996-02,27874027,
1996-03,30326247,
1996-04,29589967,
1996-05,28492182,
1996-06,29115016,
1996-07,30165850,
1996-08,26058655,
1996-09,28878383,
1996-10,32363494,
1996-11,30647070,
1996-12,30184698,
1997-01,30824615,
1997-02,30657888,
1997-03,31516825,
1997-04,32728440,
1997-05,31892770,
1997-06,33626599,
1997-07,34768280,
1997-08,29987019,
1997-09,33553006,
1997-10,36870760,
1997-11,34728144,
1997-12,33639178,
1998-01,35111234,
1998-02,33762208,
1998-03,36613639,
1998-04,37590832,
1998-05,32851608,
1998-06,36956180,
1998-07,37002439,
1998-08,31617398,
1998-09,34043719,
1998-10,37147381,
1998-11,34657727,
1998-12,36097341,
1999-01,31692884,
1999-02,33759117,
1999-03,38117215,
1999-04,36161853,
1999-05,36677230,
1999-06,37989845,
1999-07,37362835,
1999-08,35728901,
1999-09,37409569,
1999-10,39040543,
1999-11,41253447,
1999-12,39603207,
2000-01,38923524,
2000-02,39321449,
2000-03,46034143,
2000-04,39965360,
2000-05,47689413,
2000-06,42999276,
2000-07,43853881,
2000-08,44301948,
2000-09,44735335,
2000-10,50024578,
2000-11,52091830,
2000-12,48370675,
2001-01,46215372,
2001-02,44914138,
2001-03,46418454,
2001-04,46695029,
2001-05,46451129,
2001-06,45960108,
2001-07,45924907,
2001-08,42592664,
2001-09,42568938,
2001-10,47585275,
2001-11,47520357,
2001-12,39927293,
2002-01,39809109,
2002-02,41264213,
2002-03,42315148,
2002-04,46013489,
2002-05,40068051,
2002-06,45365284,
2002-07,42630267,
2002-08,41272345,
2002-09,43347174,
2002-10,47372796,
2002-11,46609973,
2002-12,42463939,
2003-01,44288702,
2003-02,43310286,
2003-03,46078788,
2003-04,44769487,
2003-05,44086207,
2003-06,43946024,
2003-07,44132817,
2003-08,39704694,
2003-09,44052061,
2003-10,47417727,
2003-11,48625049,
2003-12,44122237,
2004-01,42980461,
2004-02,44255032,
2004-03,48214354,
2004-04,47224007,
2004-05,46367095,
2004-06,47883884,
2004-07,48626740,
2004-08,45029788,
2004-09,49622533,
2004-10,51666870,
2004-11,54709965,
2004-12,48867316,
2005-01,47239901,
2005-02,46143718,
2005-03,48954417,
2005-04,52129626,
2005-05,51629081,
2005-06,52422582,
2005-07,50962603,
2005-08,51028055,
2005-09,54486388,
2005-10,56803722,
2005-11,58568487,
2005-12,57718228,
2006-01,55901420,
2006-02,57148630,
2006-03,62293486,
2006-04,58801679,
2006-05,60219400,
2006-06,61109452,
2006-07,60201883,
2006-08,58142677,
2006-09,63925792,
2006-10,66702975,
2006-11,66927763,
2006-12,62618734,
2007-01,60899758,
2007-02,63349691,
2007-03,65398981,
2007-04,63631688,
2007-05,61678421,
2007-06,65018349,
2007-07,63310871,
2007-08,63219200,
2007-09,63261075,
2007-10,69632584,
2007-11,67961487,
2007-12,62525359,
2008-01,66261320,
2008-02,66412813,
2008-03,65987199,
2008-04,69715592,
2008-05,65361974,
2008-06,67603336,
2008-07,71928324,
2008-08,64046596,
2008-09,70996782,
2008-10,72036441,
2008-11,66117708,
2008-12,59374385,
2009-01,56154314,
2009-02,55018260,
2009-03,58763141,
2009-04,54335268,
2009-05,50325592,
2009-06,53172895,
2009-07,54985700,
2009-08,51089512,
2009-09,59412227,
2009-10,59994158,
2009-11,56332975,
2009-12,55030850,
2010-01,55080817,
2010-02,56770051,
2010-03,69335060,
2010-04,62189163,
2010-05,66048866,
2010-06,71199680,
2010-07,68383722,
2010-08,64937957,
2010-09,69498912,
2010-10,71483664,
2010-11,73740280,
