"",BBFB1.Q.N.DE.S19800.S1.S1.T.L.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.S19800.S1.S1.T.L.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Equity / Reinvested earnings / Emerging markets in South-East-Asia (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:47:46,
1991-01,-10.354,
1991-04,-10.354,
1991-07,-10.354,
1991-10,-11.049,
1992-01,9.644,
1992-04,13.734,
1992-07,13.734,
1992-10,13.734,
1993-01,-48.757,
1993-04,-48.757,
1993-07,-48.757,
1993-10,-48.757,
1994-01,-2.187,
1994-04,-9.857,
1994-07,-2.187,
1994-10,-2.187,
1995-01,0.690,
1995-04,-5.555,
1995-07,1.121,
1995-10,1.121,
1996-01,-8.027,
1996-04,-8.027,
1996-07,-8.027,
1996-10,-8.027,
1997-01,-26.854,
1997-04,-25.565,
1997-07,-25.565,
1997-10,-26.883,
1998-01,-,Nothing exists
1998-04,-,Nothing exists
1998-07,-0.026,
1998-10,-,Nothing exists
1999-01,-41.000,
1999-04,-42.000,
1999-07,-41.000,
1999-10,-40.000,
2000-01,-6.024,
2000-04,-0.051,
2000-07,3.000,
2000-10,-7.000,
2001-01,-75.941,
2001-04,-96.868,
2001-07,-92.496,
2001-10,-82.569,
2002-01,-36.621,
2002-04,-43.972,
2002-07,-47.566,
2002-10,-54.864,
2003-01,-27.682,
2003-04,-19.986,
2003-07,-21.685,
2003-10,-25.023,
2004-01,16.654,
2004-04,-15.605,
2004-07,18.681,
2004-10,17.671,
2005-01,-18.913,
2005-04,-29.845,
2005-07,-38.889,
2005-10,-30.154,
2006-01,-24.087,
2006-04,-6.387,
2006-07,-10.871,
2006-10,-5.017,
2007-01,-18.076,
2007-04,-22.546,
2007-07,-4.491,
2007-10,-2.906,
2008-01,24.216,
2008-04,-19.044,
2008-07,-25.754,
2008-10,-6.948,
2009-01,-0.518,
2009-04,12.408,
2009-07,33.987,
2009-10,60.875,
2010-01,19.974,
2010-04,24.240,
2010-07,24.889,
2010-10,36.909,
2011-01,33.990,
2011-04,-21.771,
2011-07,25.109,
2011-10,38.630,
2012-01,41.009,
2012-04,42.194,
2012-07,44.600,
2012-10,42.117,
2013-01,63.244,
2013-04,55.967,
2013-07,50.003,
2013-10,29.576,
2014-01,58.530,Provisional value
2014-04,59.632,Provisional value
2014-07,58.262,Provisional value
2014-10,39.397,Provisional value
