"",BBK01.OEYB05P,BBK01.OEYB05P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:54,
2002-01,3.973,
2002-04,4.010,
2002-07,4.114,
2002-10,4.355,
2003-01,4.512,
2003-04,4.527,
2003-07,4.418,
2003-10,4.538,
2004-01,4.494,
2004-04,4.710,
2004-07,4.921,
2004-10,4.934,
2005-01,5.101,
2005-04,5.208,
2005-07,5.105,
2005-10,5.090,
2006-01,5.138,
2006-04,5.053,
2006-07,5.059,
2006-10,5.086,
2007-01,5.063,
2007-04,5.073,
2007-07,5.086,
2007-10,5.180,
2008-01,5.228,
2008-04,4.455,
2008-07,4.510,
2008-10,4.495,
2009-01,4.396,
2009-04,4.365,
2009-07,4.364,
2009-10,4.308,
2010-01,4.296,
2010-04,4.380,
2010-07,4.389,
2010-10,4.536,
2011-01,4.655,
2011-04,4.746,
2011-07,4.510,
2011-10,4.882,
2012-01,4.868,
2012-04,4.800,
2012-07,4.715,
2012-10,4.890,
2013-01,4.649,
2013-04,4.729,
2013-07,4.712,
2013-10,4.655,
2014-01,4.583,
2014-04,4.620,
2014-07,4.593,
