"",BBK01.OELL05G,BBK01.OELL05G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:05,
2002-01,1.514,
2002-04,1.659,
2002-07,1.753,
2002-10,1.891,
2003-01,1.946,
2003-04,1.953,
2003-07,1.962,
2003-10,2.088,
2004-01,2.167,
2004-04,2.175,
2004-07,2.213,
2004-10,2.245,
2005-01,2.212,
2005-04,2.166,
2005-07,2.105,
2005-10,2.109,
2006-01,2.071,
2006-04,2.022,
2006-07,1.995,
2006-10,1.913,
2007-01,1.807,
2007-04,1.730,
2007-07,1.689,
2007-10,1.703,
2008-01,1.623,
2008-04,1.569,
2008-07,1.601,
2008-10,1.589,
2009-01,1.524,
2009-04,1.540,
2009-07,1.585,
2009-10,1.842,
2010-01,2.002,
2010-04,1.990,
2010-07,1.962,
2010-10,1.970,
2011-01,2.016,
2011-04,2.109,
2011-07,2.150,
2011-10,2.116,
2012-01,1.949,
2012-04,1.820,
2012-07,1.697,
2012-10,1.589,
2013-01,1.452,
2013-04,1.369,
2013-07,1.289,
2013-10,1.238,
2014-01,1.146,
2014-04,1.069,
2014-07,1.037,
