"",BBK01.OEYJ01I,BBK01.OEYJ01I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:26,
2002-01,16.162,
2002-04,15.973,
2002-07,15.879,
2002-10,15.923,
2003-01,15.497,
2003-04,14.937,
2003-07,16.538,
2003-10,20.179,
2004-01,20.924,
2004-04,21.590,
2004-07,22.322,
2004-10,24.209,
2005-01,25.989,
2005-04,26.163,
2005-07,27.160,
2005-10,27.811,
2006-01,29.130,
2006-04,30.468,
2006-07,32.764,
2006-10,31.464,
2007-01,32.176,
2007-04,34.109,
2007-07,34.523,
2007-10,34.796,
2008-01,36.287,
2008-04,40.562,
2008-07,41.401,
2008-10,40.000,
2009-01,44.022,
2009-04,44.898,
2009-07,45.193,
2009-10,42.764,
2010-01,45.382,
2010-04,39.579,
2010-07,45.560,
2010-10,45.381,
2011-01,46.142,
2011-04,48.025,
2011-07,48.760,
2011-10,43.945,
2012-01,45.918,
2012-04,42.372,
2012-07,45.256,
2012-10,43.851,
2013-01,48.416,
2013-04,46.245,
2013-07,36.070,
2013-10,36.319,
2014-01,36.898,
2014-04,36.396,
2014-07,36.612,
