"",BBK01.OEAA01I,BBK01.OEAA01I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:16:05,
2002-01,124.465,
2002-04,127.158,
2002-07,121.108,
2002-10,117.974,
2003-01,114.352,
2003-04,103.952,
2003-07,102.295,
2003-10,96.937,
2004-01,96.770,
2004-04,95.648,
2004-07,95.633,
2004-10,95.036,
2005-01,97.876,
2005-04,98.222,
2005-07,100.259,
2005-10,100.477,
2006-01,98.812,
2006-04,99.484,
2006-07,110.466,
2006-10,111.493,
2007-01,109.168,
2007-04,110.152,
2007-07,110.223,
2007-10,113.847,
2008-01,116.717,
2008-04,120.562,
2008-07,123.761,
2008-10,124.124,
2009-01,124.773,
2009-04,129.813,
2009-07,142.935,
2009-10,145.393,
2010-01,145.506,
2010-04,144.874,
2010-07,142.505,
2010-10,143.876,
2011-01,147.195,
2011-04,148.271,
2011-07,149.385,
2011-10,148.349,
2012-01,152.726,
2012-04,152.301,
2012-07,149.131,
2012-10,144.726,
2013-01,143.968,
2013-04,148.021,
2013-07,139.625,
2013-10,140.255,
2014-01,139.746,
2014-04,139.165,
2014-07,137.945,
