"",BBFB1.Q.N.DE.TR.S1.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.TR.S1.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Balance / Turkey,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:32:00,
1991-01,-502.175,
1991-04,-486.598,
1991-07,-509.909,
1991-10,-571.068,
1992-01,-611.324,
1992-04,-505.398,
1992-07,-633.360,
1992-10,-667.316,
1993-01,-675.410,
1993-04,-636.959,
1993-07,-748.370,
1993-10,-704.100,
1994-01,-729.675,
1994-04,-719.307,
1994-07,-720.907,
1994-10,-716.196,
1995-01,-711.496,
1995-04,-711.012,
1995-07,-705.585,
1995-10,-769.263,
1996-01,-654.640,
1996-04,-653.065,
1996-07,-657.934,
1996-10,-646.515,
1997-01,-631.030,
1997-04,-622.085,
1997-07,-619.175,
1997-10,-622.086,
1998-01,-588.204,
1998-04,-601.175,
1998-07,-611.913,
1998-10,-612.006,
1999-01,-574.465,
1999-04,-561.844,
1999-07,-565.444,
1999-10,-583.839,
2000-01,-561.107,
2000-04,-554.097,
2000-07,-556.272,
2000-10,-563.838,
2001-01,-566.919,
2001-04,-545.674,
2001-07,-553.122,
2001-10,-570.177,
2002-01,-526.890,
2002-04,-525.242,
2002-07,-524.386,
2002-10,-522.246,
2003-01,-445.584,
2003-04,-444.997,
2003-07,-446.246,
2003-10,-460.217,
2004-01,-283.877,
2004-04,-293.739,
2004-07,-298.561,
2004-10,-312.623,
2005-01,-284.357,
2005-04,-284.354,
2005-07,-282.568,
2005-10,-319.735,
2006-01,-278.825,
2006-04,-279.370,
2006-07,-288.220,
2006-10,-309.873,
2007-01,-296.213,
2007-04,-291.708,
2007-07,-294.606,
2007-10,-301.998,
2008-01,-306.726,
2008-04,-308.960,
2008-07,-309.098,
2008-10,-312.063,
2009-01,-313.421,
2009-04,-307.227,
2009-07,-310.492,
2009-10,-321.245,
2010-01,-314.832,
2010-04,-313.581,
2010-07,-311.093,
2010-10,-321.964,
2011-01,-310.756,
2011-04,-316.975,
2011-07,-310.441,
2011-10,-325.727,
2012-01,-325.166,
2012-04,-330.863,
2012-07,-328.567,
2012-10,-331.649,
2013-01,-357.497,
2013-04,-356.278,
2013-07,-339.935,
2013-10,-332.189,
2014-01,-335.305,Provisional value
2014-04,-369.063,Provisional value
2014-07,-349.736,Provisional value
