"",BBDA1.M.DE.N.IM.S.A.K3.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.K3.A.V.ABA.A_FLAGS
"","Imports / At current prices, flows / Aggregate / all goods / EU member states not belonging to Euro area 13 (fixed composition) / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:39:21,
1993-01,2978610,
1993-02,3353862,
1993-03,3443181,
1993-04,3620787,
1993-05,3287087,
1993-06,3490615,
1993-07,3381076,
1993-08,3263413,
1993-09,3630732,
1993-10,3537193,
1993-11,3812239,
1993-12,4026776,
1994-01,3213749,
1994-02,3532112,
1994-03,4252651,
1994-04,3516603,
1994-05,3962747,
1994-06,4044983,
1994-07,3760171,
1994-08,3832218,
1994-09,4113455,
1994-10,3973735,
1994-11,4432876,
1994-12,4733022,
1995-01,3908909,
1995-02,4252866,
1995-03,5075550,
1995-04,4209271,
1995-05,4490968,
1995-06,4706954,
1995-07,4500417,
1995-08,4061323,
1995-09,4639859,
1995-10,4572200,
1995-11,4672412,
1995-12,4655122,
1996-01,4478963,
1996-02,4479570,
1996-03,4672265,
1996-04,4617808,
1996-05,4645774,
1996-06,4538142,
1996-07,4864315,
1996-08,4377209,
1996-09,4725735,
1996-10,5428654,
1996-11,5133819,
1996-12,5193068,
1997-01,4903194,
1997-02,5013903,
1997-03,5220914,
1997-04,5176268,
1997-05,5259285,
1997-06,5505852,
1997-07,6038224,
1997-08,4859017,
1997-09,5607487,
1997-10,6468787,
1997-11,5784675,
1997-12,6001968,
1998-01,5609410,
1998-02,5834074,
1998-03,6424374,
1998-04,6173414,
1998-05,5315771,
1998-06,6259589,
1998-07,6414757,
1998-08,5628015,
1998-09,5764221,
1998-10,6588614,
1998-11,5925712,
1998-12,6495078,
1999-01,5200265,
1999-02,5788621,
1999-03,6518907,
1999-04,6150600,
1999-05,6897520,
1999-06,6667343,
1999-07,6528738,
1999-08,6109244,
1999-09,6888437,
1999-10,6983981,
1999-11,7469868,
1999-12,7093832,
2000-01,6733438,
2000-02,7356756,
2000-03,8158094,
2000-04,6834659,
2000-05,8552407,
2000-06,7633440,
2000-07,7731155,
2000-08,7719559,
2000-09,8177006,
2000-10,8846315,
2000-11,9264536,
2000-12,8427887,
2001-01,8264150,
2001-02,7813208,
2001-03,8625210,
2001-04,8413733,
2001-05,8273695,
2001-06,8403873,
2001-07,7988532,
2001-08,8101025,
2001-09,8249054,
2001-10,9234354,
2001-11,8980529,
2001-12,7538053,
2002-01,7291269,
2002-02,7702367,
2002-03,8251607,
2002-04,8438903,
2002-05,7928352,
2002-06,8680674,
2002-07,7944748,
2002-08,7859993,
2002-09,8200552,
2002-10,9008495,
2002-11,9032158,
2002-12,7965359,
2003-01,8329717,
2003-02,8363452,
2003-03,8858188,
2003-04,8472699,
2003-05,8249353,
2003-06,8205518,
2003-07,8180111,
2003-08,7445463,
2003-09,8383702,
2003-10,9181666,
2003-11,9132444,
2003-12,8448508,
2004-01,8060441,
2004-02,8546411,
2004-03,9737722,
2004-04,9179452,
2004-05,8100773,
2004-06,8383199,
2004-07,8533681,
2004-08,8094423,
2004-09,8788139,
2004-10,9600918,
2004-11,10235294,
2004-12,8463266,
2005-01,8774303,
2005-02,8669234,
2005-03,8954365,
2005-04,9529601,
2005-05,9619952,
2005-06,9567766,
2005-07,9470260,
2005-08,9185904,
2005-09,10078555,
2005-10,10346129,
2005-11,10955286,
2005-12,9960829,
2006-01,9994524,
2006-02,10042170,
2006-03,11146301,
2006-04,10400827,
2006-05,10744464,
2006-06,10581310,
2006-07,10928728,
2006-08,10399532,
2006-09,11158696,
2006-10,11828266,
2006-11,11887662,
2006-12,11431702,
2007-01,10956430,
2007-02,11331036,
2007-03,12265094,
2007-04,11768810,
2007-05,11696327,
2007-06,12561491,
2007-07,11781602,
2007-08,11469585,
2007-09,11815803,
2007-10,13169449,
2007-11,12495052,
2007-12,11081379,
2008-01,11847535,
2008-02,12052349,
2008-03,12191168,
2008-04,12945635,
2008-05,12000102,
2008-06,12817731,
2008-07,12436873,
2008-08,11675266,
2008-09,12714593,
2008-10,13041703,
2008-11,11857504,
2008-12,10231532,
2009-01,9164364,
2009-02,9467162,
2009-03,10762927,
2009-04,9789124,
2009-05,9488567,
2009-06,10166224,
2009-07,10042657,
2009-08,9568767,
2009-09,11162035,
2009-10,11529507,
2009-11,10389278,
2009-12,10333745,
2010-01,9732773,
2010-02,10649073,
2010-03,12678335,
2010-04,10886425,
2010-05,11908045,
2010-06,12636327,
2010-07,11786214,
2010-08,11628357,
2010-09,13026270,
2010-10,13566799,
2010-11,13168364,
2010-12,12707474,
2011-01,12285792,
2011-02,13178993,
2011-03,14923266,
2011-04,13508213,
2011-05,14100575,
2011-06,13945239,
2011-07,13658546,
2011-08,13461778,
2011-09,15030253,
2011-10,14966510,
2011-11,14868496,
2011-12,13295131,
2012-01,13039645,
2012-02,14055271,
2012-03,14886971,
2012-04,13277076,
2012-05,14215291,
2012-06,13847815,
2012-07,13847088,
2012-08,12875201,
2012-09,13911208,
2012-10,15103176,
2012-11,14537880,
2012-12,11824603,
2013-01,13676764,
2013-02,13782010,
2013-03,14448299,
2013-04,14395600,
2013-05,14130486,
2013-06,14011877,
2013-07,13770583,
2013-08,13569783,
2013-09,14837239,
2013-10,16159525,
2013-11,15169470,
2013-12,13110516,
2014-01,14015863,
2014-02,15271706,
2014-03,15943089,
2014-04,15433089,
2014-05,14847914,
2014-06,15206502,
2014-07,15348751,
2014-08,13489394,
2014-09,16007991,
2014-10,16701697,
2014-11,15749214,
2014-12,14104508,
