"",BBK01.OEAD36K,BBK01.OEAD36K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:48,
2002-01,0.527,
2002-04,0.522,
2002-07,0.546,
2002-10,0.583,
2003-01,0.603,
2003-04,0.571,
2003-07,0.587,
2003-10,0.689,
2004-01,0.704,
2004-04,0.710,
2004-07,0.716,
2004-10,0.788,
2005-01,0.741,
2005-04,0.702,
2005-07,0.730,
2005-10,0.669,
2006-01,0.651,
2006-04,0.661,
2006-07,0.794,
2006-10,0.795,
2007-01,0.556,
2007-04,0.605,
2007-07,0.545,
2007-10,0.549,
2008-01,0.911,
2008-04,0.906,
2008-07,0.867,
2008-10,0.793,
2009-01,0.705,
2009-04,0.684,
2009-07,0.618,
2009-10,0.616,
2010-01,0.615,
2010-04,0.649,
2010-07,0.751,
2010-10,0.744,
2011-01,0.761,
2011-04,0.684,
2011-07,0.669,
2011-10,0.658,
2012-01,0.645,
2012-04,0.576,
2012-07,0.555,
2012-10,0.531,
2013-01,0.515,
2013-04,0.525,
2013-07,0.545,
2013-10,0.521,
2014-01,0.513,
2014-04,0.489,
2014-07,0.468,
