"",BBK01.OELB04U,BBK01.OELB04U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:41,
2002-01,2.021,
2002-04,2.004,
2002-07,2.007,
2002-10,2.009,
2003-01,1.956,
2003-04,1.951,
2003-07,1.953,
2003-10,1.945,
2004-01,1.914,
2004-04,1.913,
2004-07,1.905,
2004-10,2.012,
2005-01,1.935,
2005-04,1.921,
2005-07,1.913,
2005-10,1.920,
2006-01,1.911,
2006-04,1.916,
2006-07,1.938,
2006-10,1.894,
2007-01,1.883,
2007-04,1.885,
2007-07,1.897,
2007-10,1.908,
2008-01,1.900,
2008-04,1.916,
2008-07,1.925,
2008-10,1.927,
2009-01,1.921,
2009-04,1.946,
2009-07,1.957,
2009-10,1.983,
2010-01,1.974,
2010-04,2.108,
2010-07,2.120,
2010-10,2.164,
2011-01,2.177,
2011-04,2.218,
2011-07,2.254,
2011-10,2.288,
2012-01,2.296,
2012-04,2.679,
2012-07,2.729,
2012-10,2.772,
2013-01,2.773,
2013-04,2.826,
2013-07,2.885,
2013-10,2.942,
2014-01,2.960,
2014-04,3.000,
2014-07,3.080,
