"",BBK01.OEAA13H,BBK01.OEAA13H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:15:47,
2002-01,437.374,
2002-04,434.587,
2002-07,434.050,
2002-10,432.129,
2003-01,427.786,
2003-04,425.855,
2003-07,423.439,
2003-10,431.013,
2004-01,423.156,
2004-04,421.174,
2004-07,418.160,
2004-10,410.896,
2005-01,410.769,
2005-04,407.168,
2005-07,406.191,
2005-10,404.342,
2006-01,403.009,
2006-04,399.339,
2006-07,398.065,
2006-10,394.248,
2007-01,389.878,
2007-04,387.181,
2007-07,384.022,
2007-10,376.465,
2008-01,374.266,
2008-04,371.811,
2008-07,369.584,
2008-10,368.332,
2009-01,364.024,
2009-04,334.724,
2009-07,341.988,
2009-10,343.651,
2010-01,339.075,
2010-04,341.217,
2010-07,340.539,
2010-10,342.560,
2011-01,342.412,
2011-04,343.721,
2011-07,354.640,
2011-10,358.079,
2012-01,356.260,
2012-04,360.433,
2012-07,361.973,
2012-10,363.877,
2013-01,365.803,
2013-04,367.389,
2013-07,366.864,
2013-10,367.540,
2014-01,367.367,
2014-04,369.456,
2014-07,373.368,
