"",BBK01.OECL09J,BBK01.OECL09J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:13,
2002-01,0.035,
2002-04,0.034,
2002-07,0.034,
2002-10,0.033,
2003-01,0.031,
2003-04,0.031,
2003-07,0.030,
2003-10,0.030,
2004-01,0.028,
2004-04,0.027,
2004-07,0.026,
2004-10,0.026,
2005-01,0.027,
2005-04,0.027,
2005-07,0.025,
2005-10,0.025,
2006-01,0.025,
2006-04,0.028,
2006-07,0.030,
2006-10,0.031,
2007-01,0.039,
2007-04,0.041,
2007-07,0.046,
2007-10,0.047,
2008-01,0.048,
2008-04,0.049,
2008-07,0.054,
2008-10,0.075,
2009-01,0.074,
2009-04,0.075,
2009-07,0.077,
2009-10,0.065,
2010-01,0.055,
2010-04,0.055,
2010-07,0.054,
2010-10,0.058,
2011-01,0.069,
2011-04,0.076,
2011-07,0.076,
2011-10,0.080,
2012-01,0.088,
2012-04,0.073,
2012-07,0.068,
2012-10,0.058,
2013-01,0.039,
2013-04,0.038,
2013-07,0.036,
2013-10,0.034,
2014-01,0.034,
2014-04,0.033,
2014-07,0.035,
