"",BBK01.OELO01J,BBK01.OELO01J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:25,
2002-01,0.745,
2002-04,0.740,
2002-07,0.733,
2002-10,0.728,
2003-01,0.772,
2003-04,0.807,
2003-07,0.784,
2003-10,0.794,
2004-01,0.810,
2004-04,0.812,
2004-07,0.809,
2004-10,0.811,
2005-01,0.830,
2005-04,0.784,
2005-07,0.788,
2005-10,0.785,
2006-01,0.823,
2006-04,0.842,
2006-07,0.845,
2006-10,0.838,
2007-01,0.845,
2007-04,0.818,
2007-07,0.802,
2007-10,0.787,
2008-01,0.817,
2008-04,0.806,
2008-07,0.795,
2008-10,0.735,
2009-01,0.798,
2009-04,0.812,
2009-07,0.793,
2009-10,0.765,
2010-01,0.797,
2010-04,0.806,
2010-07,0.818,
2010-10,0.810,
2011-01,0.806,
2011-04,0.806,
2011-07,0.821,
2011-10,0.816,
2012-01,0.828,
2012-04,0.840,
2012-07,0.856,
2012-10,0.836,
2013-01,0.842,
2013-04,0.854,
2013-07,0.853,
2013-10,0.850,
2014-01,0.860,
2014-04,0.654,
2014-07,0.654,
