"",BBK01.OEAH04T,BBK01.OEAH04T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:30:41,
2002-01,2.790,
2002-04,2.669,
2002-07,2.563,
2002-10,2.464,
2003-01,2.421,
2003-04,2.206,
2003-07,2.169,
2003-10,2.182,
2004-01,2.166,
2004-04,1.945,
2004-07,2.003,
2004-10,2.171,
2005-01,2.057,
2005-04,2.032,
2005-07,2.038,
2005-10,2.182,
2006-01,2.239,
2006-04,2.128,
2006-07,2.394,
2006-10,2.768,
2007-01,2.696,
2007-04,2.822,
2007-07,3.166,
2007-10,2.922,
2008-01,3.071,
2008-04,3.630,
2008-07,3.615,
2008-10,3.379,
2009-01,2.624,
2009-04,2.039,
2009-07,1.775,
2009-10,1.498,
2010-01,1.476,
2010-04,1.376,
2010-07,1.308,
2010-10,1.338,
2011-01,1.350,
2011-04,1.375,
2011-07,1.564,
2011-10,1.836,
2012-01,2.121,
2012-04,1.877,
2012-07,2.186,
2012-10,2.070,
2013-01,2.146,
2013-04,1.742,
2013-07,1.648,
2013-10,1.554,
2014-01,1.697,
2014-04,1.791,
2014-07,1.599,
