"",BBFN1.M.DE.N.1.A.BE.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.BE.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
2013-02,34.429,
2013-03,30.729,
2013-04,33.360,
2013-05,34.483,
2013-06,34.017,
2013-07,33.670,
2013-08,30.540,
2013-09,31.204,
2013-10,32.563,
2013-11,32.077,
2013-12,28.529,
2014-01,27.559,
2014-02,27.435,
2014-03,27.952,
2014-04,28.628,
2014-05,30.432,
2014-06,29.337,
2014-07,34.114,
2014-08,32.684,
2014-09,34.538,
2014-10,32.248,
2014-11,33.347,
2014-12,28.988,
