"",BBK01.CEBR3Q,BBK01.CEBR3Q_FLAGS
"",longer-term time deposits (consolidated) debtor: Monetary financial institutions                   creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:15:02,
1991-01,415.8,
1991-04,420.0,
1991-07,422.5,
1991-10,431.4,
1992-01,441.4,
1992-04,447.8,
1992-07,452.3,
1992-10,448.7,
1993-01,455.4,
1993-04,464.1,
1993-07,472.1,
1993-10,491.2,
1994-01,509.0,
1994-04,518.6,
1994-07,528.8,
1994-10,544.1,
1995-01,551.8,
1995-04,567.3,
1995-07,579.9,
1995-10,595.3,
1996-01,616.6,
1996-04,632.2,
1996-07,643.1,
1996-10,659.3,
1997-01,679.9,
1997-04,692.6,
1997-07,699.9,
1997-10,711.9,
1998-01,728.8,
1998-04,739.1,
1998-07,742.3,
1998-10,746.6,
1999-01,770.7,
1999-04,776.7,
1999-07,789.1,
1999-10,805.8,
2000-01,828.6,
2000-04,834.9,
2000-07,849.0,
2000-10,848.9,
2001-01,860.9,
2001-04,881.5,
2001-07,879.9,
2001-10,873.3,
2002-01,885.5,
2002-04,876.0,
2002-07,867.7,
2002-10,877.7,
2003-01,878.6,
2003-04,874.5,
2003-07,877.0,
2003-10,876.4,
2004-01,873.4,
2004-04,886.5,
2004-07,893.7,
2004-10,894.9,
2005-01,911.4,
2005-04,916.8,
2005-07,914.5,
2005-10,910.7,
2006-01,908.9,
2006-04,914.2,
2006-07,923.0,
2006-10,914.7,
2007-01,915.5,
2007-04,922.4,
2007-07,921.7,
2007-10,910.2,
2008-01,902.1,
2008-04,898.7,
2008-07,905.3,
2008-10,931.9,
2009-01,942.9,
2009-04,956.1,
2009-07,950.5,
2009-10,933.7,
2010-01,937.3,
2010-04,932.2,
2010-07,928.1,
2010-10,963.4,
2011-01,946.9,
2011-04,937.5,
2011-07,939.0,
2011-10,934.1,
2012-01,924.7,
2012-04,914.5,
2012-07,904.7,
2012-10,882.0,
2013-01,871.1,
2013-04,862.4,
2013-07,840.6,
2013-10,830.0,
2014-01,819.4,
