"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.SI.00000.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.SI.00000.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / Slovenia,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:43,
2009-09,512,
2009-10,507,
2009-11,506,
2009-12,536,
2010-01,696,
2010-02,656,
2010-03,781,
2010-04,851,
2010-05,861,
2010-06,850,
2010-07,848,
2010-08,867,
2010-09,863,
2010-10,843,
2010-11,822,
2010-12,788,
2011-01,813,
2011-02,819,
2011-03,931,
2011-04,926,
2011-05,915,
2011-06,860,
2011-07,778,
2011-08,752,
2011-09,738,
2011-10,717,
2011-11,650,
2011-12,668,
2012-01,677,
2012-02,684,
2012-03,693,
2012-04,695,
2012-05,706,
2012-06,686,
2012-07,594,
2012-08,536,
2012-09,539,
2012-10,580,
2012-11,571,
2012-12,722,
2013-01,745,
2013-02,729,
2013-03,608,
2013-04,701,
2013-05,693,
2013-06,662,
2013-07,681,
2013-08,673,
2013-09,643,
2013-10,703,
2013-11,807,
2013-12,914,
2014-01,990,
2014-02,1303,
2014-03,1503,
2014-04,1588,
2014-05,1579,
2014-06,1628,
2014-07,1563,
2014-08,1582,
2014-09,1589,
2014-10,1736,
2014-11,1811,
