"",BBFN1.M.DE.N.1.A.RU.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.RU.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from financial operations / Total / Russian Federation,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:18:08,
1995-01,0.140,
1995-02,0.124,
1995-03,0.130,
1995-04,0.143,
1995-05,0.136,
1995-06,0.148,
1995-07,0.147,
1995-08,0.150,
1995-09,0.157,
1995-10,0.145,
1995-11,0.150,
1995-12,0.150,
1996-01,0.143,
1996-02,0.142,
1996-03,0.164,
1996-04,0.167,
1996-05,0.162,
1996-06,0.166,
1996-07,0.163,
1996-08,0.176,
1996-09,0.188,
1996-10,0.201,
1996-11,0.188,
1996-12,0.189,
1997-01,0.203,
1997-02,0.202,
1997-03,0.173,
1997-04,0.230,
1997-05,0.227,
1997-06,0.232,
1997-07,0.243,
1997-08,0.245,
1997-09,0.266,
1997-10,0.257,
1997-11,0.253,
1997-12,0.269,
1998-01,0.266,
1998-02,0.318,
1998-03,0.314,
1998-04,0.307,
1998-05,0.326,
1998-06,0.327,
1998-07,0.328,
1998-08,0.331,
1998-09,0.316,
1998-10,0.329,
1998-11,0.338,
1998-12,0.296,
1999-01,0.307,
1999-02,0.298,
1999-03,0.307,
1999-04,0.353,
1999-05,0.381,
1999-06,0.386,
1999-07,0.381,
1999-08,0.409,
1999-09,0.421,
1999-10,0.441,
1999-11,0.453,
1999-12,0.487,
2000-01,0.458,
2000-02,0.380,
2000-03,0.376,
2000-04,0.397,
2000-05,0.388,
2000-06,0.409,
2000-07,0.429,
2000-08,0.438,
2000-09,0.426,
2000-10,0.425,
2000-11,0.478,
2000-12,0.464,
2001-01,0.429,
2001-02,0.439,
2001-03,0.458,
2001-04,0.473,
2001-05,0.478,
2001-06,0.502,
2001-07,0.492,
2001-08,0.508,
2001-09,0.511,
2001-10,0.518,
2001-11,0.361,
2001-12,0.371,
2002-01,0.320,
2002-02,0.324,
2002-03,0.313,
2002-04,0.308,
2002-05,0.313,
2002-06,0.332,
2002-07,0.326,
2002-08,0.363,
2002-09,0.393,
2002-10,0.395,
2002-11,0.384,
2002-12,0.394,
2003-01,0.322,
2003-02,0.315,
2003-03,0.311,
2003-04,0.319,
2003-05,0.316,
2003-06,0.351,
2003-07,0.341,
2003-08,0.417,
2003-09,0.356,
2003-10,0.333,
2003-11,0.344,
2003-12,0.333,
2004-01,0.311,
2004-02,0.317,
2004-03,0.317,
2004-04,0.335,
2004-05,0.341,
2004-06,0.349,
2004-07,0.375,
2004-08,0.397,
2004-09,0.379,
2004-10,0.397,
2004-11,0.415,
2004-12,0.394,
2005-01,0.463,
2005-02,0.440,
2005-03,0.530,
2005-04,0.529,
2005-05,0.548,
2005-06,0.545,
2005-07,0.586,
2005-08,0.567,
2005-09,0.566,
2005-10,0.557,
2005-11,0.576,
2005-12,0.629,
2006-01,0.656,
2006-02,0.666,
2006-03,0.691,
2006-04,0.703,
2006-05,0.828,
2006-06,0.828,
2006-07,0.930,
2006-08,0.943,
2006-09,0.966,
2006-10,1.024,
2006-11,1.122,
2006-12,1.146,
2007-01,1.105,
2007-02,1.960,
2007-03,1.321,
2007-04,1.416,
2007-05,1.504,
2007-06,1.596,
2007-07,1.662,
2007-08,1.757,
2007-09,1.858,
2007-10,1.912,
2007-11,1.980,
2007-12,2.596,
2008-01,2.320,
2008-02,2.389,
2008-03,2.582,
2008-04,2.794,
2008-05,2.810,
2008-06,2.880,
2008-07,2.870,
2008-08,2.671,
2008-09,3.173,
2008-10,3.126,
2008-11,2.998,
2008-12,2.957,
2009-01,2.723,
2009-02,2.978,
2009-03,3.068,
2009-04,3.365,
2009-05,3.672,
2009-06,3.648,
2009-07,3.646,
2009-08,3.664,
2009-09,3.703,
2009-10,3.751,
2009-11,3.843,
2009-12,3.778,
2010-01,3.399,
2010-02,3.538,
2010-03,3.644,
2010-04,3.949,
2010-05,4.018,
2010-06,4.214,
2010-07,4.462,
2010-08,3.884,
2010-09,3.893,
2010-10,3.931,
2010-11,4.108,
2010-12,3.878,
2011-01,4.264,
2011-02,4.281,
2011-03,5.060,
2011-04,4.939,
2011-05,4.733,
2011-06,5.000,
2011-07,4.691,
2011-08,4.637,
2011-09,4.407,
2011-10,4.353,
2011-11,4.406,
2011-12,4.295,
2012-01,4.375,
2012-02,4.554,
2012-03,4.605,
2012-04,4.884,
2012-05,4.885,
2012-06,5.346,
2012-07,5.319,
2012-08,4.950,
2012-09,4.995,
2012-10,5.116,
2012-11,5.145,
2012-12,4.983,
2013-01,4.763,
2013-02,4.766,
2013-03,4.860,
2013-04,4.820,
2013-05,4.783,
2013-06,5.034,
2013-07,4.855,
2013-08,4.616,
2013-09,4.504,
2013-10,4.738,
2013-11,4.703,
2013-12,4.536,
2014-01,4.491,
2014-02,4.571,
2014-03,4.547,
2014-04,4.563,
2014-05,4.582,
2014-06,4.675,
2014-07,4.954,
2014-08,4.474,
2014-09,4.468,
2014-10,4.347,
2014-11,4.141,
2014-12,4.068,
