"",BBK01.OEAH38S,BBK01.OEAH38S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:30:21,
2002-01,0.251,
2002-04,0.257,
2002-07,0.248,
2002-10,0.241,
2003-01,0.244,
2003-04,0.230,
2003-07,0.233,
2003-10,0.244,
2004-01,0.240,
2004-04,0.246,
2004-07,0.255,
2004-10,0.270,
2005-01,0.276,
2005-04,0.276,
2005-07,0.301,
2005-10,0.299,
2006-01,0.315,
2006-04,0.312,
2006-07,0.303,
2006-10,0.318,
2007-01,0.336,
2007-04,0.348,
2007-07,0.343,
2007-10,0.341,
2008-01,0.324,
2008-04,0.313,
2008-07,0.303,
2008-10,0.276,
2009-01,0.275,
2009-04,0.262,
2009-07,0.254,
2009-10,0.262,
2010-01,0.253,
2010-04,0.248,
2010-07,0.205,
2010-10,0.202,
2011-01,0.186,
2011-04,0.189,
2011-07,0.185,
2011-10,0.187,
2012-01,0.178,
2012-04,0.177,
2012-07,0.170,
2012-10,0.118,
2013-01,0.113,
2013-04,0.117,
2013-07,0.119,
2013-10,0.134,
2014-01,0.148,
2014-04,0.173,
2014-07,0.184,
