"",BBK01.OELO02V,BBK01.OELO02V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:16:21,
2002-01,0.430,
2002-04,0.339,
2002-07,0.349,
2002-10,0.393,
2003-01,0.400,
2003-04,0.312,
2003-07,0.366,
2003-10,0.384,
2004-01,0.474,
2004-04,0.266,
2004-07,0.264,
2004-10,0.330,
2005-01,0.374,
2005-04,0.308,
2005-07,0.300,
2005-10,0.283,
2006-01,0.320,
2006-04,0.254,
2006-07,0.249,
2006-10,0.312,
2007-01,0.361,
2007-04,0.272,
2007-07,0.291,
2007-10,0.282,
2008-01,0.393,
2008-04,0.282,
2008-07,0.334,
2008-10,0.375,
2009-01,0.482,
2009-04,0.426,
2009-07,0.337,
2009-10,0.424,
2010-01,0.394,
2010-04,0.312,
2010-07,0.278,
2010-10,0.247,
2011-01,0.245,
2011-04,0.242,
2011-07,0.223,
2011-10,0.250,
2012-01,0.229,
2012-04,0.222,
2012-07,0.276,
2012-10,0.254,
2013-01,0.286,
2013-04,0.225,
2013-07,0.212,
2013-10,0.234,
2014-01,0.341,
2014-04,0.246,
2014-07,0.307,
