"",BBK01.OEAE17H,BBK01.OEAE17H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:09,
2002-01,0.875,
2002-04,0.851,
2002-07,0.747,
2002-10,0.785,
2003-01,0.813,
2003-04,0.840,
2003-07,0.645,
2003-10,0.827,
2004-01,0.648,
2004-04,0.697,
2004-07,0.690,
2004-10,0.766,
2005-01,0.685,
2005-04,0.812,
2005-07,0.784,
2005-10,0.682,
2006-01,0.717,
2006-04,0.587,
2006-07,0.574,
2006-10,0.666,
2007-01,0.505,
2007-04,0.719,
2007-07,0.800,
2007-10,0.960,
2008-01,0.766,
2008-04,0.867,
2008-07,1.039,
2008-10,0.953,
2009-01,1.010,
2009-04,0.991,
2009-07,0.641,
2009-10,0.641,
2010-01,0.398,
2010-04,0.432,
2010-07,0.327,
2010-10,0.380,
2011-01,0.380,
2011-04,0.328,
2011-07,0.382,
2011-10,0.516,
2012-01,0.380,
2012-04,0.264,
2012-07,0.320,
2012-10,0.293,
2013-01,0.201,
2013-04,0.293,
2013-07,0.411,
2013-10,0.299,
2014-01,0.273,
2014-04,0.346,
2014-07,0.293,
