"",BBK01.OEAE34P,BBK01.OEAE34P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:16,
2002-01,0.584,
2002-04,0.589,
2002-07,0.589,
2002-10,0.593,
2003-01,0.592,
2003-04,0.592,
2003-07,0.588,
2003-10,0.597,
2004-01,0.603,
2004-04,0.610,
2004-07,0.603,
2004-10,0.620,
2005-01,0.612,
2005-04,0.611,
2005-07,0.614,
2005-10,0.617,
2006-01,0.613,
2006-04,0.600,
2006-07,0.606,
2006-10,0.602,
2007-01,0.602,
2007-04,0.595,
2007-07,0.590,
2007-10,0.627,
2008-01,0.626,
2008-04,0.622,
2008-07,0.617,
2008-10,0.612,
2009-01,0.599,
2009-04,0.612,
2009-07,0.627,
2009-10,0.605,
2010-01,0.616,
2010-04,0.627,
2010-07,0.622,
2010-10,0.621,
2011-01,0.612,
2011-04,0.611,
2011-07,0.609,
2011-10,0.611,
2012-01,0.609,
2012-04,0.871,
2012-07,0.895,
2012-10,0.904,
2013-01,0.897,
2013-04,0.901,
2013-07,0.801,
2013-10,0.821,
2014-01,0.810,
2014-04,0.811,
2014-07,0.811,
