"",BBDE1.M.DE.Y.AEB1.A2Q400000.F.C.I10.A,BBDE1.M.DE.Y.AEB1.A2Q400000.F.C.I10.A_FLAGS
"",Orders received from the domestic market / At constant prices / Germany / Manufacturing excluding 30 Manufacture of other transport equipment / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:18:11,
1991-01,101.7,
1991-02,97.7,
1991-03,99.1,
1991-04,96.3,
1991-05,95.3,
1991-06,97.0,
1991-07,92.1,
1991-08,95.9,
1991-09,94.1,
1991-10,95.1,
1991-11,97.3,
1991-12,96.2,
1992-01,98.3,
1992-02,99.1,
1992-03,96.6,
1992-04,94.2,
1992-05,92.5,
1992-06,89.8,
1992-07,87.7,
1992-08,88.5,
1992-09,89.8,
1992-10,85.8,
1992-11,84.2,
1992-12,87.8,
1993-01,85.9,
1993-02,82.1,
1993-03,79.4,
1993-04,79.3,
1993-05,81.3,
1993-06,80.0,
1993-07,81.6,
1993-08,81.0,
1993-09,84.1,
1993-10,82.3,
1993-11,82.2,
1993-12,84.0,
1994-01,81.5,
1994-02,83.0,
1994-03,84.5,
1994-04,85.3,
1994-05,84.9,
1994-06,85.8,
1994-07,86.6,
1994-08,86.4,
1994-09,88.6,
1994-10,89.6,
1994-11,88.7,
1994-12,92.2,
1995-01,86.4,
1995-02,87.9,
1995-03,87.8,
1995-04,87.9,
1995-05,87.3,
1995-06,85.5,
1995-07,84.6,
1995-08,84.2,
1995-09,85.6,
1995-10,81.7,
1995-11,82.0,
1995-12,85.1,
1996-01,83.7,
1996-02,80.5,
1996-03,83.5,
1996-04,83.8,
1996-05,82.9,
1996-06,85.3,
1996-07,84.1,
1996-08,84.4,
1996-09,85.4,
1996-10,85.3,
1996-11,84.0,
1996-12,84.1,
1997-01,83.8,
1997-02,83.7,
1997-03,86.7,
1997-04,86.3,
1997-05,86.7,
1997-06,87.4,
1997-07,87.2,
1997-08,86.2,
1997-09,86.3,
1997-10,87.7,
1997-11,89.2,
1997-12,88.5,
1998-01,89.6,
1998-02,89.4,
1998-03,91.9,
1998-04,90.5,
1998-05,91.1,
1998-06,90.9,
1998-07,89.5,
1998-08,88.9,
1998-09,88.4,
1998-10,87.8,
1998-11,88.2,
1998-12,87.8,
1999-01,89.5,
1999-02,86.1,
1999-03,87.7,
1999-04,87.3,
1999-05,88.5,
1999-06,91.6,
1999-07,90.9,
1999-08,92.0,
1999-09,91.2,
1999-10,91.8,
1999-11,93.9,
1999-12,93.8,
2000-01,91.3,
2000-02,95.1,
2000-03,94.0,
2000-04,98.5,
2000-05,98.5,
2000-06,96.1,
2000-07,98.3,
2000-08,98.0,
2000-09,97.5,
2000-10,97.1,
2000-11,98.0,
2000-12,97.4,
2001-01,97.1,
2001-02,98.1,
2001-03,96.9,
2001-04,94.3,
2001-05,94.0,
2001-06,94.2,
2001-07,93.5,
2001-08,95.0,
2001-09,92.5,
2001-10,90.3,
2001-11,88.8,
2001-12,91.8,
2002-01,91.7,
2002-02,89.8,
2002-03,90.1,
2002-04,91.2,
2002-05,89.9,
2002-06,92.4,
2002-07,91.0,
2002-08,92.6,
2002-09,92.5,
2002-10,92.3,
2002-11,91.9,
2002-12,90.5,
2003-01,91.1,
2003-02,93.3,
2003-03,89.7,
2003-04,90.3,
2003-05,89.8,
2003-06,89.5,
2003-07,90.4,
2003-08,89.2,
2003-09,91.2,
2003-10,93.3,
2003-11,94.9,
2003-12,93.5,
2004-01,93.3,
2004-02,94.4,
2004-03,94.8,
2004-04,95.5,
2004-05,94.2,
2004-06,94.4,
2004-07,95.2,
2004-08,94.2,
2004-09,93.9,
2004-10,96.5,
2004-11,94.2,
2004-12,95.4,
2005-01,95.2,
2005-02,93.5,
2005-03,94.1,
2005-04,94.3,
2005-05,93.9,
2005-06,96.6,
2005-07,98.2,
2005-08,97.4,
2005-09,98.6,
2005-10,99.7,
2005-11,99.9,
2005-12,100.8,
2006-01,99.7,
2006-02,101.1,
2006-03,99.3,
2006-04,102.4,
2006-05,105.0,
2006-06,102.6,
2006-07,103.3,
2006-08,106.0,
2006-09,107.7,
2006-10,106.3,
2006-11,106.7,
2006-12,107.8,
2007-01,108.6,
2007-02,109.5,
2007-03,110.7,
2007-04,108.4,
2007-05,111.6,
2007-06,111.0,
2007-07,110.7,
2007-08,110.7,
2007-09,111.0,
2007-10,113.0,
2007-11,117.0,
2007-12,118.4,
2008-01,113.6,
2008-02,114.1,
2008-03,113.0,
2008-04,113.2,
2008-05,110.4,
2008-06,110.5,
2008-07,107.0,
2008-08,109.4,
2008-09,104.8,
2008-10,97.5,
2008-11,88.9,
2008-12,85.7,
2009-01,80.7,
2009-02,79.1,
2009-03,80.1,
2009-04,80.0,
2009-05,81.5,
2009-06,84.1,
2009-07,82.8,
2009-08,90.1,
2009-09,90.2,
2009-10,90.1,
2009-11,91.8,
2009-12,90.4,
2010-01,89.1,
2010-02,93.5,
2010-03,97.2,
2010-04,100.7,
2010-05,99.4,
2010-06,101.8,
2010-07,100.9,
2010-08,101.0,
2010-09,101.8,
2010-10,103.0,
2010-11,102.9,
2010-12,102.4,
2011-01,107.5,
2011-02,108.3,
2011-03,106.1,
2011-04,107.1,
2011-05,106.3,
2011-06,106.1,
2011-07,110.0,
2011-08,107.2,
2011-09,104.7,
2011-10,104.7,
2011-11,103.4,
2011-12,102.0,
2012-01,103.7,
2012-02,103.0,
2012-03,101.7,
2012-04,103.4,
2012-05,103.2,
2012-06,101.2,
2012-07,101.0,
2012-08,99.8,
2012-09,98.9,
2012-10,98.5,
2012-11,98.3,
2012-12,99.2,
2013-01,99.7,
2013-02,100.2,
2013-03,102.8,
2013-04,99.9,
2013-05,98.9,
2013-06,101.7,
2013-07,100.5,
2013-08,102.8,
2013-09,103.4,
2013-10,102.9,
2013-11,104.5,
2013-12,102.1,
2014-01,104.3,
2014-02,105.9,
2014-03,103.7,
2014-04,105.8,
2014-05,103.6,
2014-06,103.0,
2014-07,103.6,
2014-08,102.6,
2014-09,100.2,
2014-10,104.4,
2014-11,101.4,
2014-12,104.5,Provisional value
