"",BBK01.AU1716,BBK01.AU1716_FLAGS
"","Longerterm refinancing operations / Eurosystem Figures are daily averages for the reserve maintenance period ending in the month indicated. Owing to the changeover to the new operational framework for monetary policity, there is no reserve maintenance period ending in February 2004.",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 15:18:27,
1999-02,34.200,
1999-03,45.000,
1999-04,45.000,
1999-05,45.000,
1999-06,45.000,
1999-07,45.000,
1999-08,45.000,
1999-09,45.000,
1999-10,45.000,
1999-11,53.700,
1999-12,65.000,
2000-01,75.000,
2000-02,70.500,
2000-03,66.200,
2000-04,61.000,
2000-05,60.000,
2000-06,59.900,
2000-07,59.900,
2000-08,55.400,
2000-09,51.100,
2000-10,45.700,
2000-11,45.000,
2000-12,45.000,
2001-01,45.000,
2001-02,49.800,
2001-03,54.100,
2001-04,58.400,
2001-05,59.100,
2001-06,59.100,
2001-07,59.900,
2001-08,60.000,
2001-09,60.000,
2001-10,60.000,
2001-11,60.000,
2001-12,60.000,
2002-01,60.000,
2002-02,60.000,
2002-03,60.000,
2002-04,60.000,
2002-05,60.000,
2002-06,60.000,
2002-07,60.000,
2002-08,55.200,
2002-09,50.800,
2002-10,45.300,
2002-11,45.000,
2002-12,45.000,
2003-01,45.000,
2003-02,45.000,
2003-03,45.000,
2003-04,45.000,
2003-05,45.000,
2003-06,45.000,
2003-07,45.000,
2003-08,45.000,
2003-09,45.000,
2003-10,45.000,
2003-11,45.000,
2003-12,45.000,
2004-01,45.000,
2004-02,.,No value available
2004-03,56.700,
2004-04,67.100,
2004-05,75.000,
2004-06,75.000,
2004-07,75.000,
2004-08,75.000,
2004-09,75.000,
2004-10,75.000,
2004-11,75.000,
2004-12,75.000,
2005-01,75.000,
2005-02,78.000,
2005-03,82.200,
2005-04,86.900,
2005-05,90.000,
2005-06,90.000,
2005-07,90.000,
2005-08,90.000,
2005-09,90.000,
2005-10,90.000,
2005-11,90.000,
2005-12,90.000,
2006-01,89.600,
2006-02,96.200,
2006-03,104.700,
2006-04,113.700,
2006-05,120.000,
2006-06,120.000,
2006-07,120.000,
2006-08,120.000,
2006-09,120.000,
2006-10,120.000,
2006-11,120.000,
2006-12,120.000,
2007-01,120.000,
2007-02,124.600,
2007-03,134.600,
2007-04,145.700,
2007-05,150.000,
2007-06,150.000,
2007-07,150.000,
2007-08,150.000,
2007-09,171.700,
2007-10,262.300,
2007-11,265.000,
2007-12,278.600,
2008-01,268.800,
2008-02,268.500,
2008-03,268.500,
2008-04,278.600,
2008-05,295.000,
2008-06,287.900,
2008-07,275.400,
2008-08,299.300,
2008-09,300.000,
2008-10,334.300,
2008-11,452.500,
2008-12,457.200,
2009-01,613.600,
2009-02,551.400,
2009-03,472.400,
2009-04,443.100,
2009-05,426.900,
2009-06,400.600,
2009-07,504.900,
2009-08,694.000,
2009-09,645.400,
2009-10,616.900,
2009-11,626.100,
2009-12,593.400,
2010-01,648.400,
2010-02,662.200,
2010-03,641.100,
2010-04,650.500,
2010-05,666.400,
2010-06,706.700,
2010-07,573.200,
2010-08,432.200,
2010-09,435.000,
2010-10,392.600,
2010-11,340.000,
2010-12,336.300,
2011-01,316.600,
2011-02,318.200,
2011-03,321.000,
2011-04,335.400,
2011-05,320.500,
2011-06,317.900,
2011-07,311.600,
2011-08,321.500,
2011-09,389.800,
2011-10,373.600,
2011-11,387.100,
2011-12,389.000,
2012-01,627.300,
2012-02,683.600,
2012-03,860.100,
2012-04,1093.400,
2012-05,1088.700,
2012-06,1071.000,
2012-07,1074.900,
2012-08,1079.900,
2012-09,1076.800,
2012-10,1062.800,
2012-11,1053.800,
2012-12,1044.100,
2013-01,1036.800,
2013-02,960.300,
2013-03,843.200,
2013-04,782.900,
2013-05,749.900,
2013-06,728.400,
2013-07,708.000,
2013-08,698.600,
2013-09,692.300,
2013-10,674.600,
2013-11,652.400,
2013-12,625.300,
2014-01,592.100,
2014-02,576.400,
2014-03,570.400,
2014-04,534.600,
2014-05,519.600,
2014-06,507.800,
2014-07,460.100,
2014-08,414.700,
2014-09,387.400,
2014-10,398.200,
2014-11,412.500,
2014-12,396.100,
2015-01,454.400,
