"",BBK01.OEBI06R,BBK01.OEBI06R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:49,
2002-01,0.038,
2002-04,0.038,
2002-07,0.034,
2002-10,0.030,
2003-01,0.030,
2003-04,0.027,
2003-07,0.024,
2003-10,0.026,
2004-01,0.030,
2004-04,0.029,
2004-07,0.030,
2004-10,0.025,
2005-01,0.031,
2005-04,0.031,
2005-07,0.032,
2005-10,0.030,
2006-01,0.032,
2006-04,0.032,
2006-07,0.041,
2006-10,0.042,
2007-01,0.045,
2007-04,0.049,
2007-07,0.048,
2007-10,0.058,
2008-01,0.069,
2008-04,0.077,
2008-07,0.084,
2008-10,0.091,
2009-01,0.101,
2009-04,0.089,
2009-07,0.079,
2009-10,0.072,
2010-01,0.071,
2010-04,0.087,
2010-07,0.093,
2010-10,0.098,
2011-01,0.109,
2011-04,0.132,
2011-07,0.138,
2011-10,0.183,
2012-01,0.180,
2012-04,0.185,
2012-07,0.183,
2012-10,0.170,
2013-01,0.153,
2013-04,0.148,
2013-07,0.160,
2013-10,0.179,
2014-01,0.198,
2014-04,0.204,
2014-07,0.419,
