"",BBK01.SUD103S,BBK01.SUD103S_FLAGS
"",Effective interest rates of German banks / New business (estimated) / Households' deposits with an agreed maturity of over 1 year and up to 2 years,
unit,% p.a. (hypothetically euro-based),
unit multiplier,one,
last update,2014-01-30 11:39:53,
2000-01,4.6090,Estimated value
2000-02,4.7151,Estimated value
2000-03,4.7622,Estimated value
2000-04,4.8919,Estimated value
2000-05,4.9390,Estimated value
2000-06,5.1394,Estimated value
2000-07,5.2573,Estimated value
2000-08,5.3752,Estimated value
2000-09,5.4695,Estimated value
2000-10,5.5166,Estimated value
2000-11,5.4813,Estimated value
2000-12,5.3162,Estimated value
2001-01,4.9273,Estimated value
2001-02,4.8447,Estimated value
2001-03,4.7858,Estimated value
2001-04,4.6679,Estimated value
2001-05,4.7033,Estimated value
2001-06,4.6326,Estimated value
2001-07,4.6090,Estimated value
2001-08,4.5147,Estimated value
2001-09,4.2671,Estimated value
2001-10,3.9607,Estimated value
2001-11,3.6424,Estimated value
2001-12,3.7013,Estimated value
2002-01,3.8074,Estimated value
2002-02,3.9135,Estimated value
2002-03,4.0668,Estimated value
2002-04,4.1257,Estimated value
2002-05,4.1021,Estimated value
2002-06,4.1493,Estimated value
2002-07,4.1021,Estimated value
2002-08,3.7603,Estimated value
2002-09,3.6306,Estimated value
2002-10,3.3949,Estimated value
2002-11,3.3477,Estimated value
2002-12,3.2652,Estimated value
