"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.DK.00013.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.DK.00013.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / Denmark / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:38,
2009-09,221,
2009-10,188,
2009-11,185,
2009-12,183,
2010-01,184,
2010-02,170,
2010-03,159,
2010-04,151,
2010-05,151,
2010-06,152,
2010-07,151,
2010-08,174,
2010-09,187,
2010-10,213,
2010-11,210,
2010-12,216,
2011-01,236,
2011-02,254,
2011-03,263,
2011-04,275,
2011-05,252,
2011-06,259,
2011-07,294,
2011-08,327,
2011-09,388,
2011-10,413,
2011-11,409,
2011-12,397,
2012-01,407,
2012-02,388,
2012-03,388,
2012-04,393,
2012-05,434,
2012-06,441,
2012-07,432,
2012-08,427,
2012-09,434,
2012-10,431,
2012-11,433,
2012-12,463,
2013-01,472,
2013-02,449,
2013-03,435,
2013-04,418,
2013-05,420,
2013-06,409,
2013-07,408,
2013-08,412,
2013-09,454,
2013-10,461,
2013-11,447,
2013-12,457,
2014-01,469,
2014-02,475,
2014-03,452,
2014-04,428,
2014-05,437,
2014-06,440,
2014-07,446,
2014-08,476,
2014-09,487,
2014-10,499,
2014-11,502,
