"",BBK01.OEBB20M,BBK01.OEBB20M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:33,
2002-01,13.332,
2002-04,13.410,
2002-07,13.484,
2002-10,13.341,
2003-01,13.524,
2003-04,13.588,
2003-07,13.648,
2003-10,13.715,
2004-01,13.653,
2004-04,13.735,
2004-07,13.882,
2004-10,13.976,
2005-01,19.533,
2005-04,20.931,
2005-07,21.233,
2005-10,21.379,
2006-01,21.426,
2006-04,23.169,
2006-07,23.037,
2006-10,22.620,
2007-01,25.226,
2007-04,22.628,
2007-07,22.388,
2007-10,22.028,
2008-01,21.694,
2008-04,21.555,
2008-07,20.538,
2008-10,20.152,
2009-01,20.008,
2009-04,20.814,
2009-07,20.512,
2009-10,19.694,
2010-01,19.529,
2010-04,19.407,
2010-07,19.519,
2010-10,19.227,
2011-01,19.166,
2011-04,19.059,
2011-07,18.932,
2011-10,18.853,
2012-01,18.746,
2012-04,18.731,
2012-07,18.846,
2012-10,18.805,
2013-01,18.734,
2013-04,18.772,
2013-07,18.823,
2013-10,18.864,
2014-01,18.870,
2014-04,19.156,
2014-07,19.324,
