"",BBDA1.M.DE.N.IM.S.A.B0.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.B0.A.V.ABA.A_FLAGS
"","German foreign trade: imports / At current prices, flows / Aggregate / all goods / EU (Member States and Institutions of the European Union) fixed composition / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:39:03,
1993-01,13429484,
1993-02,14833412,
1993-03,15471163,
1993-04,15313544,
1993-05,14521054,
1993-06,14758005,
1993-07,14494586,
1993-08,13188225,
1993-09,14840841,
1993-10,14859073,
1993-11,15563427,
1993-12,15845575,
1994-01,13279786,
1994-02,14678563,
1994-03,17283715,
1994-04,15822004,
1994-05,16747206,
1994-06,16652373,
1994-07,15894839,
1994-08,14418332,
1994-09,16782325,
1994-10,16784251,
1994-11,16925898,
1994-12,18353936,
1995-01,16131329,
1995-02,17313104,
1995-03,20048151,
1995-04,17256476,
1995-05,18166273,
1995-06,19080493,
1995-07,17713944,
1995-08,15391745,
1995-09,18068464,
1995-10,18340720,
1995-11,17817131,
1995-12,18416529,
1996-01,18828691,
1996-02,17282723,
1996-03,19025092,
1996-04,18804387,
1996-05,17800298,
1996-06,18465057,
1996-07,18919519,
1996-08,15826756,
1996-09,17627642,
1996-10,20445598,
1996-11,19130775,
1996-12,19537507,
1997-01,18326584,
1997-02,19600501,
1997-03,20021296,
1997-04,19494345,
1997-05,20360691,
1997-06,21414384,
1997-07,21856814,
1997-08,18279832,
1997-09,20058117,
1997-10,22807424,
1997-11,21657587,
1997-12,21183065,
1998-01,21900683,
1998-02,21268368,
1998-03,22376641,
1998-04,24030015,
1998-05,20694038,
1998-06,23484630,
1998-07,23454071,
1998-08,19569397,
1998-09,20615897,
1998-10,23312168,
1998-11,21834294,
1998-12,22638072,
1999-01,19921821,
1999-02,21295615,
1999-03,23854571,
1999-04,22447065,
1999-05,23966602,
1999-06,24240871,
1999-07,23255097,
1999-08,22519856,
1999-09,22577857,
1999-10,24177718,
1999-11,25690335,
1999-12,23948041,
2000-01,23425209,
2000-02,23855816,
2000-03,27653661,
2000-04,23999523,
2000-05,28481144,
2000-06,25611474,
2000-07,26212431,
2000-08,25866759,
2000-09,25968334,
2000-10,29704309,
2000-11,30992178,
2000-12,28846965,
2001-01,26832037,
2001-02,27033490,
2001-03,27897879,
2001-04,28663825,
2001-05,28554775,
2001-06,28485005,
2001-07,27752193,
2001-08,25478230,
2001-09,26249608,
2001-10,29259289,
2001-11,28864096,
2001-12,24640782,
2002-01,23996578,
2002-02,25872010,
2002-03,25947372,
2002-04,27488745,
2002-05,24697073,
2002-06,28468843,
2002-07,26550476,
2002-08,24942130,
2002-09,26990187,
2002-10,28615607,
2002-11,28526602,
2002-12,26692056,
2003-01,26066128,
2003-02,26798144,
2003-03,28782399,
2003-04,27562862,
2003-05,27102301,
2003-06,27200492,
2003-07,27387834,
2003-08,23675706,
2003-09,27359918,
2003-10,29102107,
2003-11,30120568,
2003-12,26965129,
2004-01,26284373,
2004-02,27706499,
2004-03,30312445,
2004-04,28632142,
2004-05,28353011,
2004-06,28726700,
2004-07,29470411,
2004-08,26540991,
2004-09,29137238,
2004-10,30630987,
2004-11,32748150,
2004-12,28864532,
2005-01,27883375,
2005-02,28052665,
2005-03,30022649,
2005-04,30958343,
2005-05,31279143,
2005-06,31246102,
2005-07,30506341,
2005-08,29049333,
2005-09,32009657,
2005-10,33238980,
2005-11,34789651,
2005-12,32760015,
2006-01,31650746,
2006-02,32758115,
2006-03,36375591,
2006-04,34194257,
2006-05,34756599,
2006-06,35744074,
2006-07,34819457,
2006-08,32389708,
2006-09,36790976,
2006-10,39270804,
2006-11,39443473,
2006-12,36338054,
2007-01,34860412,
2007-02,36190290,
2007-03,38817733,
2007-04,37439770,
2007-05,36840034,
2007-06,39352062,
2007-07,37467881,
2007-08,35842120,
2007-09,36923568,
2007-10,41472482,
2007-11,39842137,
2007-12,35412461,
2008-01,37755094,
2008-02,38882554,
2008-03,38623760,
2008-04,40800672,
2008-05,38361247,
2008-06,39805923,
2008-07,40906182,
2008-08,35699599,
2008-09,40603282,
2008-10,41557258,
2008-11,36317512,
2008-12,32383977,
2009-01,30708608,
2009-02,31112261,
2009-03,34279234,
2009-04,31575164,
2009-05,29341580,
2009-06,31220467,
2009-07,31481116,
2009-08,28848109,
2009-09,33526425,
2009-10,35400001,
2009-11,32078625,
2009-12,31410939,
2010-01,30619835,
2010-02,33251919,
2010-03,38870613,
2010-04,34832887,
2010-05,36918930,
2010-06,39598274,
2010-07,38230351,
2010-08,34545014,
2010-09,38788527,
2010-10,40560025,
2010-11,40146211,
2010-12,38727683,
2011-01,37354120,
2011-02,40660458,
2011-03,46042163,
2011-04,41438528,
2011-05,43758552,
2011-06,44150210,
2011-07,41383823,
2011-08,39420935,
2011-09,44327264,
2011-10,43655772,
2011-11,43792427,
2011-12,40226287,
2012-01,39543590,
2012-02,42576906,
2012-03,46052950,
2012-04,40924871,
2012-05,43660620,
2012-06,42845048,
2012-07,42814148,
2012-08,39200248,
