"",BBFB1.Q.N.DE.BE.S1.S1.T.A.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.BE.S1.S1.T.A.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Belgium,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:40:55,
1991-01,518.400,
1991-04,912.997,
1991-07,432.774,
1991-10,772.994,
1992-01,686.918,
1992-04,600.726,
1992-07,617.574,
1992-10,900.810,
1993-01,959.174,
1993-04,25.425,
1993-07,82.967,
1993-10,544.522,
1994-01,-26.562,
1994-04,118.959,
1994-07,222.900,
1994-10,-0.050,
1995-01,250.217,
1995-04,23.446,
1995-07,90.441,
1995-10,36.500,
1996-01,2200.470,
1996-04,38.847,
1996-07,-572.069,
1996-10,840.850,
1997-01,-150.714,
1997-04,-28.017,
1997-07,-525.794,
1997-10,1930.548,
1998-01,1470.269,
1998-04,-264.163,
1998-07,-113.547,
1998-10,341.651,
1999-01,164.307,
1999-04,796.085,
1999-07,186.235,
1999-10,221.813,
2000-01,-1216.645,
2000-04,4209.503,
2000-07,1908.664,
2000-10,-900.729,
2001-01,1569.220,
2001-04,-34.769,
2001-07,552.325,
2001-10,2368.381,
2002-01,304.701,
2002-04,-679.836,
2002-07,413.290,
2002-10,-323.840,
2003-01,921.872,
2003-04,335.971,
2003-07,326.694,
2003-10,-272.323,
2004-01,-3343.576,
2004-04,-1981.693,
2004-07,1173.529,
2004-10,-345.684,
2005-01,496.714,
2005-04,182.316,
2005-07,1150.727,
2005-10,-1538.336,
2006-01,2153.028,
2006-04,813.387,
2006-07,1969.232,
2006-10,210.860,
2007-01,380.680,
2007-04,251.467,
2007-07,-4032.732,
2007-10,3253.592,
2008-01,2157.060,
2008-04,1642.481,
2008-07,803.612,
2008-10,-1425.928,
2009-01,549.926,
2009-04,125.413,
2009-07,605.993,
2009-10,1716.376,
2010-01,2540.565,
2010-04,528.307,
2010-07,162.448,
2010-10,2141.788,
2011-01,1952.148,
2011-04,5269.145,
2011-07,742.242,
2011-10,-646.955,
2012-01,1030.651,
2012-04,508.575,
2012-07,1147.169,
2012-10,3481.864,
2013-01,2878.991,
2013-04,2655.440,
2013-07,-1771.640,
2013-10,150.810,
2014-01,4711.809,Provisional value
2014-04,-274.173,Provisional value
2014-07,637.568,Provisional value
2014-10,-3394.694,Provisional value
