"",BBK01.OEBL03H,BBK01.OEBL03H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:13,
2002-01,7.333,
2002-04,7.076,
2002-07,6.911,
2002-10,6.568,
2003-01,5.838,
2003-04,5.142,
2003-07,4.748,
2003-10,4.417,
2004-01,3.877,
2004-04,3.512,
2004-07,3.450,
2004-10,3.307,
2005-01,3.846,
2005-04,3.822,
2005-07,3.701,
2005-10,4.181,
2006-01,4.149,
2006-04,4.501,
2006-07,5.225,
2006-10,6.332,
2007-01,6.996,
2007-04,7.675,
2007-07,9.870,
2007-10,11.692,
2008-01,13.186,
2008-04,14.135,
2008-07,15.981,
2008-10,17.365,
2009-01,14.772,
2009-04,13.916,
2009-07,12.121,
2009-10,10.123,
2010-01,8.021,
2010-04,7.345,
2010-07,6.395,
2010-10,5.856,
2011-01,5.756,
2011-04,6.220,
2011-07,6.308,
2011-10,6.675,
2012-01,6.694,
2012-04,6.529,
2012-07,6.054,
2012-10,5.390,
2013-01,4.852,
2013-04,5.432,
2013-07,5.522,
2013-10,5.625,
2014-01,5.690,
2014-04,5.234,
2014-07,5.016,
