"",BBDA1.M.DE.N.EX.S.A.PT.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.PT.A.V.ABA.A_FLAGS
"","Exports / At current prices, flows / Aggregate / all goods / Portugal / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:39:17,
1990-07,251618,
1990-08,216240,
1990-09,217934,
1990-10,298548,
1990-11,282120,
1990-12,253024,
1991-01,295604,
1991-02,426703,
1991-03,301803,
1991-04,293024,
1991-05,302456,
1991-06,430504,
1991-07,316049,
1991-08,223363,
1991-09,226835,
1991-10,284882,
1991-11,309461,
1991-12,432630,
1992-01,286231,
1992-02,291753,
1992-03,311295,
1992-04,326556,
1992-05,279590,
1992-06,275913,
1992-07,334908,
1992-08,254916,
1992-09,271078,
1992-10,361929,
1992-11,326799,
1992-12,320589,
1993-01,269354,
1993-02,301824,
1993-03,321273,
1993-04,288190,
1993-05,275237,
1993-06,258953,
1993-07,276379,
1993-08,197284,
1993-09,231881,
1993-10,270105,
1993-11,245367,
1993-12,219920,
1994-01,225024,
1994-02,237522,
1994-03,269098,
1994-04,238281,
1994-05,259425,
1994-06,285403,
1994-07,249308,
1994-08,208164,
1994-09,268706,
1994-10,257702,
1994-11,248595,
1994-12,274243,
1995-01,261795,
1995-02,289829,
1995-03,307784,
1995-04,254347,
1995-05,315838,
1995-06,310224,
1995-07,270192,
1995-08,221101,
1995-09,292906,
1995-10,308014,
1995-11,323068,
1995-12,311208,
1996-01,344799,
1996-02,328329,
1996-03,370055,
1996-04,345058,
1996-05,382261,
1996-06,333159,
1996-07,381861,
1996-08,264041,
1996-09,341111,
1996-10,398714,
1996-11,348433,
1996-12,337094,
1997-01,375406,
1997-02,356222,
1997-03,409162,
1997-04,400514,
1997-05,418272,
1997-06,420805,
1997-07,415756,
1997-08,314443,
1997-09,391622,
1997-10,454771,
1997-11,431369,
1997-12,447943,
1998-01,429893,
1998-02,428325,
1998-03,459374,
1998-04,475790,
1998-05,466504,
1998-06,474431,
1998-07,476351,
1998-08,342724,
1998-09,411365,
1998-10,495218,
1998-11,523454,
1998-12,422106,
1999-01,420083,
1999-02,464490,
1999-03,508514,
1999-04,471596,
1999-05,465568,
1999-06,527909,
1999-07,486218,
1999-08,419182,
1999-09,481701,
1999-10,537038,
1999-11,608335,
1999-12,487129,
2000-01,609945,
2000-02,503654,
2000-03,508883,
2000-04,524649,
2000-05,522395,
2000-06,495528,
2000-07,484443,
2000-08,502946,
2000-09,506519,
2000-10,574189,
2000-11,517868,
2000-12,503126,
2001-01,533610,
2001-02,545506,
2001-03,532602,
2001-04,536590,
2001-05,504896,
2001-06,557271,
2001-07,573794,
2001-08,487269,
2001-09,492388,
2001-10,548380,
2001-11,545382,
2001-12,510561,
2002-01,542177,
2002-02,511401,
2002-03,559336,
2002-04,594879,
2002-05,553535,
2002-06,578002,
2002-07,600853,
2002-08,532056,
2002-09,595605,
2002-10,561156,
2002-11,638508,
2002-12,497105,
2003-01,496795,
2003-02,497171,
2003-03,565104,
2003-04,513932,
2003-05,505071,
2003-06,499436,
2003-07,549510,
2003-08,512425,
2003-09,549688,
