"",BBDE1.Q.DE.Y.LCB1.P2XG00300.A.L.I08.A,BBDE1.Q.DE.Y.LCB1.P2XG00300.A.L.I08.A_FLAGS
"",Index of gross wages and salaries / Germany / Section G-N - Market-based service activities / Calendar and seasonally adjusted,
unit,2008=100 (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-09 08:05:13,
1996-01,77.3,
1996-04,77.9,
1996-07,78.3,
1996-10,79.5,
1997-01,79.5,
1997-04,79.3,
1997-07,79.2,
1997-10,79.7,
1998-01,80.1,
1998-04,80.3,
1998-07,80.5,
1998-10,80.6,
1999-01,81.4,
1999-04,82.3,
1999-07,82.8,
1999-10,82.9,
2000-01,83.1,
2000-04,84.1,
2000-07,84.7,
2000-10,85.3,
2001-01,85.4,
2001-04,86.2,
2001-07,87.0,
2001-10,87.7,
2002-01,87.8,
2002-04,88.1,
2002-07,89.5,
2002-10,90.4,
2003-01,90.9,
2003-04,91.3,
2003-07,91.1,
2003-10,91.8,
2004-01,92.5,
2004-04,92.3,
2004-07,91.9,
2004-10,92.7,
2005-01,93.6,
2005-04,93.3,
2005-07,93.8,
2005-10,94.0,
2006-01,94.4,
2006-04,95.3,
2006-07,95.6,
2006-10,95.5,
2007-01,95.4,
2007-04,96.8,
2007-07,97.3,
2007-10,98.3,
2008-01,99.8,
2008-04,99.0,
2008-07,100.0,
2008-10,101.2,
2009-01,102.0,
2009-04,101.6,
2009-07,102.5,
2009-10,102.0,
2010-01,102.8,
2010-04,102.6,
2010-07,103.5,
2010-10,103.8,
2011-01,104.9,
2011-04,106.1,
2011-07,106.5,
2011-10,107.3,
2012-01,108.5,
2012-04,110.6,
2012-07,111.2,
2012-10,111.6,
2013-01,111.0,
2013-04,111.2,
2013-07,110.8,
2013-10,111.9,
2014-01,111.8,
2014-04,112.2,
2014-07,112.9,
