"",BBK01.OEAE04U,BBK01.OEAE04U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:18,
2002-01,0.732,
2002-04,0.750,
2002-07,0.789,
2002-10,0.820,
2003-01,0.752,
2003-04,0.740,
2003-07,0.765,
2003-10,0.794,
2004-01,0.816,
2004-04,0.824,
2004-07,0.830,
2004-10,0.833,
2005-01,0.809,
2005-04,0.809,
2005-07,0.812,
2005-10,0.808,
2006-01,0.812,
2006-04,0.835,
2006-07,0.842,
2006-10,0.842,
2007-01,0.862,
2007-04,1.034,
2007-07,1.006,
2007-10,1.011,
2008-01,1.013,
2008-04,1.029,
2008-07,1.032,
2008-10,1.042,
2009-01,0.492,
2009-04,0.599,
2009-07,0.595,
2009-10,0.567,
2010-01,0.614,
2010-04,0.648,
2010-07,0.671,
2010-10,0.649,
2011-01,0.698,
2011-04,0.724,
2011-07,0.721,
2011-10,0.726,
2012-01,0.713,
2012-04,0.760,
2012-07,0.776,
2012-10,0.752,
2013-01,0.759,
2013-04,0.750,
2013-07,0.794,
2013-10,0.803,
2014-01,0.791,
2014-04,0.982,
2014-07,0.790,
