"",BBK01.OECI01N,BBK01.OECI01N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:22,
2002-01,34.840,
2002-04,36.046,
2002-07,35.879,
2002-10,39.687,
2003-01,36.202,
2003-04,35.896,
2003-07,34.669,
2003-10,37.081,
2004-01,34.447,
2004-04,34.054,
2004-07,36.135,
2004-10,38.431,
2005-01,56.457,
2005-04,55.067,
2005-07,52.134,
2005-10,53.373,
2006-01,53.560,
2006-04,56.710,
2006-07,55.337,
2006-10,57.832,
2007-01,57.560,
2007-04,58.966,
2007-07,66.158,
2007-10,70.040,
2008-01,70.958,
2008-04,73.451,
2008-07,72.850,
2008-10,88.928,
2009-01,83.950,
2009-04,86.794,
2009-07,91.130,
2009-10,89.740,
2010-01,78.280,
2010-04,89.494,
2010-07,80.194,
2010-10,85.673,
2011-01,78.708,
2011-04,87.674,
2011-07,83.699,
2011-10,96.714,
2012-01,88.638,
2012-04,95.907,
2012-07,90.585,
2012-10,84.259,
2013-01,80.090,
2013-04,78.241,
2013-07,78.240,
2013-10,76.822,
2014-01,75.787,
2014-04,75.425,
2014-07,75.518,
