"",BBFB1.Q.N.DE.CN.S1.S1.T.L.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.CN.S1.S1.T.L.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / China,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:47:23,
1991-01,23.632,
1991-04,361.895,
1991-07,148.831,
1991-10,-135.036,
1992-01,245.254,
1992-04,483.814,
1992-07,-143.759,
1992-10,-389.084,
1993-01,-224.906,
1993-04,120.817,
1993-07,-77.545,
1993-10,139.617,
1994-01,15.225,
1994-04,95.115,
1994-07,-106.217,
1994-10,36.565,
1995-01,182.091,
1995-04,168.506,
1995-07,-54.654,
1995-10,-130.701,
1996-01,28.908,
1996-04,-41.057,
1996-07,-298.957,
1996-10,-8.506,
1997-01,100.519,
1997-04,560.473,
1997-07,-663.388,
1997-10,146.373,
1998-01,-16.588,
1998-04,108.229,
1998-07,349.563,
1998-10,93.852,
1999-01,42.314,
1999-04,268.974,
1999-07,173.270,
1999-10,15.012,
2000-01,650.705,
2000-04,555.426,
2000-07,510.590,
2000-10,-590.411,
2001-01,479.168,
2001-04,750.904,
2001-07,-404.430,
2001-10,383.778,
2002-01,-502.914,
2002-04,626.826,
2002-07,-146.219,
2002-10,-804.556,
2003-01,-351.611,
2003-04,-529.185,
2003-07,126.851,
2003-10,230.324,
2004-01,308.195,
2004-04,561.679,
2004-07,-208.931,
2004-10,-61.717,
2005-01,676.526,
2005-04,692.594,
2005-07,-266.577,
2005-10,359.236,
2006-01,338.175,
2006-04,1223.881,
2006-07,203.473,
2006-10,-410.946,
2007-01,-64.634,
2007-04,266.986,
2007-07,-707.353,
2007-10,2111.754,
2008-01,-1203.393,
2008-04,236.972,
2008-07,3221.499,
2008-10,3790.044,
2009-01,6920.142,
2009-04,-10327.613,
2009-07,-895.443,
2009-10,-743.019,
2010-01,382.921,
2010-04,2762.737,
2010-07,689.209,
2010-10,385.853,
2011-01,-1530.073,
2011-04,1043.911,
2011-07,2618.295,
2011-10,8181.070,
2012-01,11235.447,
2012-04,15503.250,
2012-07,-7880.809,
2012-10,-19454.624,
2013-01,-6156.719,
2013-04,-1144.850,
2013-07,-1308.505,
2013-10,-801.194,
2014-01,754.382,Provisional value
2014-04,3983.916,Provisional value
2014-07,2999.732,Provisional value
2014-10,-3331.679,Provisional value
