"",BBFB1.Q.N.DE.CH.S1.S1.T.D.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.CH.S1.S1.T.D.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Expenditure / Switzerland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:31:45,
1991-01,484.221,
1991-04,482.889,
1991-07,520.511,
1991-10,524.054,
1992-01,482.161,
1992-04,513.361,
1992-07,509.143,
1992-10,541.904,
1993-01,641.462,
1993-04,676.124,
1993-07,681.985,
1993-10,720.982,
1994-01,766.951,
1994-04,775.379,
1994-07,761.355,
1994-10,786.662,
1995-01,918.112,
1995-04,925.701,
1995-07,906.979,
1995-10,908.529,
1996-01,1139.750,
1996-04,1207.193,
1996-07,1186.289,
1996-10,1198.372,
1997-01,1002.729,
1997-04,1028.231,
1997-07,989.252,
1997-10,996.148,
1998-01,855.447,
1998-04,855.504,
1998-07,897.715,
1998-10,967.735,
1999-01,638.023,
1999-04,737.378,
1999-07,686.696,
1999-10,690.493,
2000-01,477.841,
2000-04,525.627,
2000-07,454.694,
2000-10,557.831,
2001-01,1027.932,
2001-04,1066.675,
2001-07,1004.235,
2001-10,996.614,
2002-01,627.900,
2002-04,620.520,
2002-07,591.960,
2002-10,711.884,
2003-01,2532.758,
2003-04,2672.806,
2003-07,2567.300,
2003-10,2441.113,
2004-01,2233.343,
2004-04,2055.756,
2004-07,1917.962,
2004-10,1929.036,
2005-01,1708.775,
2005-04,1737.466,
2005-07,1729.676,
2005-10,1664.964,
2006-01,1240.488,
2006-04,1217.741,
2006-07,1152.043,
2006-10,1194.387,
2007-01,1687.162,
2007-04,1788.140,
2007-07,1731.144,
2007-10,1815.389,
2008-01,2008.257,
2008-04,2031.495,
2008-07,1900.069,
2008-10,1830.538,
2009-01,1278.095,
2009-04,1213.634,
2009-07,1201.535,
2009-10,1237.838,
2010-01,1354.897,
2010-04,1433.447,
2010-07,1483.933,
2010-10,1600.700,
2011-01,2147.404,
2011-04,2190.503,
2011-07,2263.530,
2011-10,2348.831,
2012-01,1210.557,
2012-04,1155.894,
2012-07,1160.542,
2012-10,2049.940,
2013-01,1579.118,
2013-04,1524.951,
2013-07,1492.575,
2013-10,1524.746,
2014-01,1247.181,Provisional value
2014-04,1366.983,Provisional value
2014-07,1319.820,Provisional value
