"",BBSF2.M.1.S.00000.GEF01.I.F.MIZ.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.GEF01.I.F.MIZ.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed funds / Sales receipts,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:52:52,
2004-01,52,
2004-02,-,Nothing exists
2004-03,-,Nothing exists
2004-04,96,
2004-05,-,Nothing exists
2004-06,42,
2004-07,10,
2004-08,-,Nothing exists
2004-09,33,
2004-10,5,
2004-11,83,
2004-12,543,
2005-01,208,
2005-02,279,
2005-03,1987,
2005-04,359,
2005-05,59,
2005-06,208,
2005-07,561,
2005-08,1466,
2005-09,233,
2005-10,316,
2005-11,476,
2005-12,3212,
2006-01,1460,
2006-02,1355,
2006-03,2179,
2006-04,4011,
2006-05,3325,
2006-06,6770,
2006-07,921,
2006-08,4994,
2006-09,3754,
2006-10,618,
2006-11,1399,
2006-12,2696,
2007-01,2215,
2007-02,3216,
2007-03,1152,
2007-04,2058,
2007-05,2430,
2007-06,2514,
2007-07,2009,
2007-08,1057,
2007-09,419,
2007-10,5312,
2007-11,809,
2007-12,2271,
2008-01,1582,
2008-02,1214,
2008-03,653,
2008-04,1607,
2008-05,2250,
2008-06,570,
2008-07,11242,
2008-08,969,
2008-09,2333,
2008-10,636,
2008-11,942,
2008-12,4612,
2009-01,4055,
2009-02,1089,
2009-03,1292,
2009-04,2672,
2009-05,7714,
2009-06,2571,
2009-07,2895,
2009-08,2003,
2009-09,6520,
2009-10,3086,
2009-11,2823,
2009-12,4707,
2010-01,3312,
2010-02,1464,
2010-03,3870,
2010-04,3093,
2010-05,2353,
2010-06,1465,
2010-07,3538,
2010-08,2298,
2010-09,5300,
2010-10,3432,
2010-11,2671,
2010-12,5200,
2011-01,2402,
2011-02,1110,
2011-03,2677,
2011-04,3552,
2011-05,2379,
2011-06,2133,
2011-07,2801,
2011-08,1144,
2011-09,2023,
2011-10,3785,
2011-11,5169,
2011-12,5326,
2012-01,3233,
2012-02,7565,
2012-03,2407,
2012-04,3135,
2012-05,2115,
2012-06,6717,
2012-07,3594,
2012-08,4224,
2012-09,6910,
2012-10,2668,
2012-11,3490,
2012-12,6678,
2013-01,4843,
2013-02,3202,
2013-03,2020,
2013-04,2024,
2013-05,3331,
2013-06,3332,
2013-07,5830,
2013-08,1660,
2013-09,4064,
2013-10,4362,
2013-11,3741,
2013-12,7101,
2014-01,2571,
2014-02,3588,
2014-03,2901,
2014-04,2813,
2014-05,2927,
2014-06,2457,
2014-07,3106,
2014-08,1730,
2014-09,2825,
2014-10,16499,
2014-11,5628,
