"",BBK01.OEAD26G,BBK01.OEAD26G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:36,
2002-01,0.663,
2002-04,0.675,
2002-07,0.715,
2002-10,0.729,
2003-01,0.700,
2003-04,0.690,
2003-07,0.784,
2003-10,0.841,
2004-01,0.882,
2004-04,0.853,
2004-07,0.850,
2004-10,0.824,
2005-01,0.815,
2005-04,0.835,
2005-07,0.800,
2005-10,0.837,
2006-01,0.895,
2006-04,0.860,
2006-07,0.892,
2006-10,0.831,
2007-01,0.921,
2007-04,0.857,
2007-07,0.855,
2007-10,0.906,
2008-01,0.909,
2008-04,0.982,
2008-07,1.150,
2008-10,1.284,
2009-01,2.235,
2009-04,2.523,
2009-07,3.618,
2009-10,3.920,
2010-01,3.092,
2010-04,3.162,
2010-07,1.915,
2010-10,2.057,
2011-01,2.098,
2011-04,2.135,
2011-07,1.941,
2011-10,1.943,
2012-01,1.951,
2012-04,1.804,
2012-07,1.677,
2012-10,1.694,
2013-01,1.706,
2013-04,1.736,
2013-07,1.695,
2013-10,1.674,
2014-01,1.573,
2014-04,1.464,
2014-07,1.511,
