"",BBK01.CELA0N,BBK01.CELA0N_FLAGS
"",short-term debt securities debtor: Total                               creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:50:59,
1999-01,1.2,
1999-04,6.0,
1999-07,16.2,
1999-10,18.7,
2000-01,-5.6,
2000-04,12.3,
2000-07,-0.3,
2000-10,-6.2,
2001-01,-10.5,
2001-04,-4.9,
2001-07,2.6,
2001-10,1.5,
2002-01,-6.8,
2002-04,9.4,
2002-07,20.2,
2002-10,3.2,
2003-01,24.0,
2003-04,3.9,
2003-07,-11.2,
2003-10,-3.0,
2004-01,-6.5,
2004-04,-2.2,
2004-07,0.0,
2004-10,-5.7,
2005-01,8.8,
2005-04,-3.2,
2005-07,-1.2,
2005-10,-7.3,
2006-01,12.9,
2006-04,-0.6,
2006-07,-4.1,
2006-10,-6.0,
2007-01,12.9,
2007-04,5.3,
2007-07,7.9,
2007-10,18.1,
2008-01,14.9,
2008-04,-8.6,
2008-07,3.2,
2008-10,21.0,
2009-01,-13.1,
2009-04,16.7,
2009-07,9.7,
2009-10,-2.4,
2010-01,-1.5,
2010-04,-12.3,
2010-07,-1.8,
2010-10,-17.1,
2011-01,17.3,
2011-04,-7.6,
2011-07,33.3,
2011-10,9.2,
2012-01,-6.6,
2012-04,6.2,
2012-07,-19.4,
2012-10,2.6,
2013-01,14.1,
2013-04,-3.3,
2013-07,-8.5,
2013-10,-30.2,
2014-01,2.6,
2014-04,-8.0,
2014-07,12.1,
