"",BBFN1.M.DE.N.1.L.AU.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.AU.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from trade credit / Total / Australia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:30:39,
1994-07,0.225,
1994-08,0.210,
1994-09,0.209,
1994-10,0.223,
1994-11,0.241,
1994-12,0.223,
1995-01,0.235,
1995-02,0.240,
1995-03,0.215,
1995-04,0.203,
1995-05,0.187,
1995-06,0.194,
1995-07,0.193,
1995-08,0.210,
1995-09,0.216,
1995-10,0.205,
1995-11,0.212,
1995-12,0.220,
1996-01,0.223,
1996-02,0.244,
1996-03,0.215,
1996-04,0.217,
1996-05,0.246,
1996-06,0.232,
1996-07,0.241,
1996-08,0.246,
1996-09,0.236,
1996-10,0.260,
1996-11,0.284,
1996-12,0.312,
1997-01,0.291,
1997-02,0.307,
1997-03,0.317,
1997-04,0.312,
1997-05,0.304,
1997-06,0.294,
1997-07,0.283,
1997-08,0.309,
1997-09,0.292,
1997-10,0.283,
1997-11,0.297,
1997-12,0.309,
1998-01,0.297,
1998-02,0.284,
1998-03,0.338,
1998-04,0.312,
1998-05,0.321,
1998-06,0.346,
1998-07,0.335,
1998-08,0.363,
1998-09,0.354,
1998-10,0.347,
1998-11,0.368,
1998-12,0.342,
1999-01,0.310,
1999-02,0.314,
1999-03,0.332,
1999-04,0.313,
1999-05,0.342,
1999-06,0.327,
1999-07,0.329,
1999-08,0.328,
1999-09,0.280,
1999-10,0.237,
1999-11,0.258,
1999-12,0.290,
2000-01,0.284,
2000-02,0.259,
2000-03,0.221,
2000-04,0.306,
2000-05,0.307,
2000-06,0.302,
2000-07,0.301,
2000-08,0.391,
2000-09,0.451,
2000-10,0.468,
2000-11,0.495,
2000-12,0.432,
2001-01,0.421,
2001-02,0.454,
2001-03,0.404,
2001-04,0.397,
2001-05,0.420,
2001-06,0.403,
2001-07,0.413,
2001-08,0.428,
2001-09,0.405,
2001-10,0.434,
2001-11,0.415,
2001-12,0.503,
2002-01,0.468,
2002-02,0.458,
2002-03,0.475,
2002-04,0.463,
2002-05,0.476,
2002-06,0.472,
2002-07,0.466,
2002-08,0.460,
2002-09,0.482,
2002-10,0.606,
2002-11,0.475,
2002-12,0.496,
2003-01,0.497,
2003-02,0.531,
2003-03,0.504,
2003-04,0.523,
2003-05,0.536,
2003-06,0.477,
2003-07,0.597,
2003-08,0.595,
2003-09,0.400,
2003-10,0.432,
2003-11,0.455,
2003-12,0.454,
2004-01,0.436,
2004-02,0.435,
2004-03,0.402,
2004-04,0.466,
2004-05,0.460,
2004-06,0.477,
2004-07,0.520,
2004-08,0.504,
2004-09,0.526,
2004-10,0.552,
2004-11,0.562,
2004-12,0.578,
2005-01,0.567,
2005-02,0.553,
2005-03,0.592,
2005-04,0.606,
2005-05,0.616,
2005-06,0.589,
2005-07,0.594,
2005-08,0.649,
2005-09,0.652,
2005-10,0.653,
2005-11,0.645,
2005-12,0.769,
2006-01,0.748,
2006-02,0.810,
2006-03,0.765,
2006-04,0.775,
2006-05,0.667,
2006-06,0.678,
2006-07,0.703,
2006-08,0.715,
2006-09,0.725,
2006-10,0.740,
2006-11,0.741,
2006-12,0.722,
2007-01,0.683,
2007-02,0.662,
2007-03,0.650,
2007-04,0.683,
2007-05,0.720,
2007-06,0.759,
2007-07,0.845,
2007-08,0.839,
2007-09,0.893,
2007-10,0.870,
2007-11,0.880,
2007-12,0.875,
2008-01,0.868,
2008-02,0.835,
2008-03,0.807,
2008-04,0.879,
2008-05,0.875,
2008-06,0.845,
2008-07,0.811,
2008-08,0.804,
2008-09,0.668,
2008-10,0.684,
2008-11,0.681,
2008-12,0.665,
2009-01,0.632,
2009-02,0.588,
2009-03,0.576,
2009-04,0.556,
2009-05,0.541,
2009-06,0.561,
2009-07,0.601,
2009-08,0.613,
2009-09,0.702,
2009-10,0.715,
2009-11,0.727,
2009-12,0.724,
2010-01,0.617,
2010-02,0.672,
2010-03,0.689,
2010-04,0.685,
2010-05,0.806,
2010-06,0.806,
2010-07,0.781,
2010-08,0.778,
2010-09,0.746,
2010-10,0.790,
2010-11,0.695,
2010-12,0.802,
2011-01,0.645,
2011-02,0.667,
2011-03,0.775,
2011-04,0.707,
2011-05,0.765,
2011-06,0.696,
2011-07,0.693,
2011-08,0.701,
2011-09,0.772,
2011-10,0.753,
2011-11,0.749,
2011-12,0.754,
2012-01,0.687,
2012-02,0.714,
2012-03,0.660,
2012-04,0.672,
2012-05,0.630,
2012-06,0.713,
2012-07,0.714,
2012-08,0.704,
2012-09,0.699,
2012-10,0.626,
2012-11,0.625,
2012-12,0.654,
2013-01,0.681,
2013-02,0.599,
2013-03,0.653,
2013-04,0.707,
2013-05,0.608,
2013-06,0.708,
2013-07,0.607,
2013-08,0.622,
2013-09,0.618,
2013-10,0.585,
2013-11,0.562,
2013-12,0.630,
2014-01,0.615,
2014-02,0.527,
2014-03,0.593,
2014-04,0.510,
2014-05,0.503,
2014-06,0.522,
2014-07,0.561,
2014-08,0.524,
2014-09,0.613,
2014-10,0.559,
2014-11,0.586,
2014-12,0.871,
