"",BBFB1.Q.N.DE.I7.S1.S1.T.D.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.I7.S1.S1.T.D.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Expenditure / Euro area 18 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:27:47,
1991-01,8312.358,
1991-04,9038.464,
1991-07,10998.907,
1991-10,8198.151,
1992-01,9113.498,
1992-04,9968.527,
1992-07,11597.205,
1992-10,9296.954,
1993-01,9017.983,
1993-04,10220.385,
1993-07,11897.120,
1993-10,8968.596,
1994-01,9507.691,
1994-04,10763.477,
1994-07,12861.285,
1994-10,9639.373,
1995-01,10269.763,
1995-04,11168.749,
1995-07,13275.746,
1995-10,10184.874,
1996-01,10323.825,
1996-04,11602.842,
1996-07,13851.793,
1996-10,10626.342,
1997-01,10865.442,
1997-04,12152.589,
1997-07,14705.360,
1997-10,11471.275,
1998-01,11407.762,
1998-04,12981.036,
1998-07,15549.300,
1998-10,12039.169,
1999-01,12048.387,
1999-04,14461.576,
1999-07,17191.769,
1999-10,13949.588,
2000-01,13550.590,
2000-04,15970.245,
2000-07,18761.376,
2000-10,15507.415,
2001-01,15075.607,
2001-04,16862.205,
2001-07,19328.113,
2001-10,15289.012,
2002-01,14942.051,
2002-04,16552.111,
2002-07,19285.580,
2002-10,15482.226,
2003-01,14617.845,
2003-04,16734.850,
2003-07,20422.954,
2003-10,15196.304,
2004-01,15153.184,
2004-04,17076.849,
2004-07,19071.517,
2004-10,15568.290,
2005-01,14842.154,
2005-04,16322.612,
2005-07,20344.275,
2005-10,16051.594,
2006-01,15430.344,
2006-04,17868.248,
2006-07,20171.085,
2006-10,16430.492,
2007-01,16414.382,
2007-04,17993.944,
2007-07,21974.340,
2007-10,17507.146,
2008-01,16594.924,
2008-04,19114.580,
2008-07,22990.799,
2008-10,18207.243,
2009-01,16344.030,
2009-04,17578.869,
2009-07,21422.249,
2009-10,17101.016,
2010-01,16616.215,
2010-04,19625.130,
2010-07,23089.879,
2010-10,19364.181,
2011-01,18376.477,
2011-04,20270.928,
2011-07,24565.932,
2011-10,19916.133,
2012-01,19071.067,
2012-04,21441.636,
2012-07,25477.466,
2012-10,20523.158,
2013-01,21348.368,
2013-04,23642.888,
2013-07,27756.378,
2013-10,23365.963,
2014-01,21085.030,Provisional value
2014-04,23889.318,Provisional value
2014-07,29047.403,Provisional value
