"",BBFB1.Q.N.DE.RU.S1.S1.T.B.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.RU.S1.S1.T.B.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Balance / Russian Federation,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:31:36,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,152.598,
1992-07,345.545,
1992-10,355.280,
1993-01,355.150,
1993-04,337.957,
1993-07,355.641,
1993-10,377.972,
1994-01,368.281,
1994-04,292.193,
1994-07,324.736,
1994-10,282.370,
1995-01,329.588,
1995-04,341.029,
1995-07,461.620,
1995-10,344.870,
1996-01,318.128,
1996-04,353.657,
1996-07,372.314,
1996-10,486.519,
1997-01,428.229,
1997-04,528.620,
1997-07,458.078,
1997-10,441.156,
1998-01,295.227,
1998-04,183.714,
1998-07,195.492,
1998-10,94.674,
1999-01,181.046,
1999-04,170.227,
1999-07,188.310,
1999-10,232.978,
2000-01,250.427,
2000-04,382.869,
2000-07,438.782,
2000-10,559.611,
2001-01,441.028,
2001-04,380.902,
2001-07,356.931,
2001-10,348.495,
2002-01,400.180,
2002-04,381.070,
2002-07,374.891,
2002-10,378.535,
2003-01,422.918,
2003-04,425.470,
2003-07,399.280,
2003-10,388.969,
2004-01,425.196,
2004-04,480.039,
2004-07,600.867,
2004-10,755.337,
2005-01,749.277,
2005-04,651.864,
2005-07,542.505,
2005-10,850.824,
2006-01,843.958,
2006-04,774.935,
2006-07,817.470,
2006-10,279.949,
2007-01,427.912,
2007-04,442.507,
2007-07,418.348,
2007-10,472.221,
2008-01,748.426,
2008-04,406.786,
2008-07,396.453,
2008-10,432.134,
2009-01,399.338,
2009-04,367.548,
2009-07,380.912,
2009-10,305.186,
2010-01,513.168,
2010-04,539.376,
2010-07,551.649,
2010-10,647.377,
2011-01,607.738,
2011-04,621.704,
2011-07,746.316,
2011-10,814.794,
2012-01,721.757,
2012-04,714.577,
2012-07,756.452,
2012-10,661.482,
2013-01,722.489,
2013-04,721.801,
2013-07,782.960,
2013-10,700.560,
2014-01,693.489,Provisional value
2014-04,727.235,Provisional value
2014-07,1217.310,Provisional value
