"",BBK01.OEAD40V,BBK01.OEAD40V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:02:12,
2002-01,0.313,
2002-04,0.296,
2002-07,0.287,
2002-10,0.281,
2003-01,0.263,
2003-04,0.250,
2003-07,0.244,
2003-10,0.239,
2004-01,0.230,
2004-04,0.224,
2004-07,0.218,
2004-10,0.215,
2005-01,0.213,
2005-04,0.210,
2005-07,0.198,
2005-10,0.197,
2006-01,0.200,
2006-04,0.187,
2006-07,0.201,
2006-10,0.197,
2007-01,0.195,
2007-04,0.191,
2007-07,0.192,
2007-10,0.199,
2008-01,0.200,
2008-04,0.199,
2008-07,0.202,
2008-10,0.198,
2009-01,0.190,
2009-04,0.192,
2009-07,0.193,
2009-10,0.168,
2010-01,0.188,
2010-04,0.191,
2010-07,0.192,
2010-10,0.193,
2011-01,0.189,
2011-04,0.197,
2011-07,0.202,
2011-10,0.227,
2012-01,0.226,
2012-04,0.225,
2012-07,0.229,
2012-10,0.230,
2013-01,0.240,
2013-04,0.220,
2013-07,0.221,
2013-10,0.225,
2014-01,0.222,
2014-04,0.220,
2014-07,0.218,
