"",BBK01.OEXB05U,BBK01.OEXB05U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:23,
2002-01,5.133,
2002-04,5.292,
2002-07,5.346,
2002-10,5.781,
2003-01,5.886,
2003-04,5.988,
2003-07,6.108,
2003-10,6.178,
2004-01,6.252,
2004-04,6.214,
2004-07,6.284,
2004-10,6.261,
2005-01,6.246,
2005-04,6.189,
2005-07,6.370,
2005-10,6.348,
2006-01,6.381,
2006-04,6.448,
2006-07,6.534,
2006-10,6.664,
2007-01,6.625,
2007-04,6.687,
2007-07,6.573,
2007-10,6.688,
2008-01,6.385,
2008-04,6.289,
2008-07,6.202,
2008-10,6.191,
2009-01,6.104,
2009-04,6.086,
2009-07,6.198,
2009-10,6.217,
2010-01,6.202,
2010-04,6.241,
2010-07,6.264,
2010-10,6.329,
2011-01,6.364,
2011-04,6.449,
2011-07,6.508,
2011-10,6.479,
2012-01,6.484,
2012-04,6.532,
2012-07,6.544,
2012-10,6.536,
2013-01,6.764,
2013-04,6.813,
2013-07,6.830,
2013-10,6.909,
2014-01,6.901,
2014-04,6.985,
2014-07,6.786,
