"",BBK01.OEXB16G,BBK01.OEXB16G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:58,
2002-01,4.008,
2002-04,4.168,
2002-07,4.207,
2002-10,4.405,
2003-01,4.372,
2003-04,4.315,
2003-07,4.347,
2003-10,4.351,
2004-01,4.306,
2004-04,4.360,
2004-07,4.314,
2004-10,4.754,
2005-01,3.610,
2005-04,3.626,
2005-07,1.700,
2005-10,1.716,
2006-01,1.734,
2006-04,1.739,
2006-07,1.739,
2006-10,1.655,
2007-01,1.696,
2007-04,1.718,
2007-07,1.725,
2007-10,1.710,
2008-01,1.728,
2008-04,1.805,
2008-07,1.796,
2008-10,1.890,
2009-01,1.908,
2009-04,1.904,
2009-07,1.935,
2009-10,1.929,
2010-01,1.890,
2010-04,1.934,
2010-07,1.940,
2010-10,1.954,
2011-01,1.963,
2011-04,1.957,
2011-07,1.953,
2011-10,1.969,
2012-01,1.974,
2012-04,1.985,
2012-07,1.937,
2012-10,1.945,
2013-01,1.928,
2013-04,1.932,
2013-07,1.952,
2013-10,1.952,
2014-01,1.950,
2014-04,1.989,
2014-07,2.012,
