"",BBSF2.M.1.T.00000.GEM01.I.F.SSD.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.GEM01.I.F.SSD.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Mixed securities funds / Borrowers' note loans,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:37,
2009-09,915,
2009-10,941,
2009-11,945,
2009-12,901,
2010-01,891,
2010-02,892,
2010-03,909,
2010-04,885,
2010-05,925,
2010-06,913,
2010-07,929,
2010-08,975,
2010-09,1002,
2010-10,949,
2010-11,929,
2010-12,1130,
2011-01,1158,
2011-02,1134,
2011-03,1114,
2011-04,1182,
2011-05,1218,
2011-06,1119,
2011-07,1127,
2011-08,1134,
2011-09,1140,
2011-10,1052,
2011-11,1045,
2011-12,1148,
2012-01,849,
2012-02,1056,
2012-03,1032,
2012-04,1062,
2012-05,1090,
2012-06,1029,
2012-07,1036,
2012-08,1034,
2012-09,1033,
2012-10,1027,
2012-11,1035,
2012-12,1714,
2013-01,1649,
2013-02,1497,
2013-03,1514,
2013-04,1344,
2013-05,1319,
2013-06,1337,
2013-07,1334,
2013-08,1347,
2013-09,1349,
2013-10,1688,
2013-11,1419,
2013-12,1382,
2014-01,1353,
2014-02,1679,
2014-03,1907,
2014-04,1473,
2014-05,1444,
2014-06,1439,
2014-07,1463,
2014-08,2488,
2014-09,2070,
2014-10,2071,
2014-11,2084,
