"",BBFB1.Q.N.DE.CA.S1.S1.T.B.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.CA.S1.S1.T.B.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods (fob/fob) / Balance / Canada,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:32:43,
1991-01,57.541,
1991-04,-0.179,
1991-07,96.711,
1991-10,-3.032,
1992-01,73.615,
1992-04,-4.679,
1992-07,57.513,
1992-10,-64.389,
1993-01,2.186,
1993-04,-101.723,
1993-07,66.455,
1993-10,26.859,
1994-01,43.711,
1994-04,92.415,
1994-07,72.642,
1994-10,-3.195,
1995-01,-97.362,
1995-04,-80.516,
1995-07,-178.984,
1995-10,-183.901,
1996-01,-79.070,
1996-04,-127.329,
1996-07,-38.935,
1996-10,-16.290,
1997-01,120.786,
1997-04,134.054,
1997-07,324.126,
1997-10,290.291,
1998-01,322.189,
1998-04,388.465,
1998-07,338.955,
1998-10,133.482,
1999-01,197.966,
1999-04,379.645,
1999-07,153.096,
1999-10,279.802,
2000-01,341.684,
2000-04,278.374,
2000-07,311.776,
2000-10,99.753,
2001-01,286.531,
2001-04,438.602,
2001-07,394.719,
2001-10,1190.596,
2002-01,652.818,
2002-04,716.429,
2002-07,854.011,
2002-10,746.690,
2003-01,669.213,
2003-04,535.016,
2003-07,570.567,
2003-10,396.166,
2004-01,469.110,
2004-04,715.917,
2004-07,520.130,
2004-10,637.843,
2005-01,642.258,
2005-04,798.552,
2005-07,670.437,
2005-10,599.245,
2006-01,752.343,
2006-04,832.862,
2006-07,576.118,
2006-10,603.054,
2007-01,720.940,
2007-04,743.833,
2007-07,844.284,
2007-10,730.984,
2008-01,789.472,
2008-04,698.831,
2008-07,388.561,
2008-10,556.343,
2009-01,553.251,
2009-04,431.433,
2009-07,423.112,
2009-10,572.462,
2010-01,522.853,
2010-04,718.955,
2010-07,713.434,
2010-10,439.001,
2011-01,668.181,
2011-04,510.722,
2011-07,725.158,
2011-10,424.963,
2012-01,1262.017,
2012-04,1304.969,
2012-07,1301.614,
2012-10,945.154,
2013-01,1332.704,
2013-04,1495.990,
2013-07,1621.115,
2013-10,940.311,
2014-01,1604.460,Provisional value
2014-04,1732.562,Provisional value
2014-07,1788.662,Provisional value
