"",BBFB1.Q.N.DE.E1.S1.S1.T.B.CA._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.E1.S1.S1.T.B.CA._Z._Z._Z._T._X.N_FLAGS
"",Current account / Balance of the Current account / Europe,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:27:18,
1991-01,1088.481,
1991-04,-1746.785,
1991-07,-2318.594,
1991-10,49.182,
1992-01,-321.203,
1992-04,-2783.765,
1992-07,-3330.664,
1992-10,-3721.960,
1993-01,74.625,
1993-04,-3473.078,
1993-07,-7683.543,
1993-10,-2784.961,
1994-01,-3025.105,
1994-04,-5333.163,
1994-07,-10439.384,
1994-10,-5419.484,
1995-01,-4775.369,
1995-04,-5679.621,
1995-07,-8466.715,
1995-10,-1659.480,
1996-01,-2522.468,
1996-04,-6981.359,
1996-07,-9738.082,
1996-10,-2220.254,
1997-01,-7492.805,
1997-04,-3996.737,
1997-07,-9063.280,
1997-10,2506.985,
1998-01,-4732.413,
1998-04,-2219.985,
1998-07,-8965.065,
1998-10,98.457,
1999-01,-6103.009,
1999-04,-5887.446,
1999-07,-12484.336,
1999-10,-2205.657,
2000-01,-612.051,
2000-04,-4647.168,
2000-07,-15699.454,
2000-10,-1913.709,
2001-01,-216.138,
2001-04,-5543.139,
2001-07,-6367.609,
2001-10,5656.375,
2002-01,4589.032,
2002-04,1880.303,
2002-07,939.113,
2002-10,10735.288,
2003-01,5416.947,
2003-04,-1383.111,
2003-07,-537.398,
2003-10,14063.531,
2004-01,15616.310,
2004-04,16932.749,
2004-07,9063.759,
2004-10,23532.986,
2005-01,18811.026,
2005-04,18290.427,
2005-07,11791.826,
2005-10,26169.873,
2006-01,25436.219,
2006-04,24816.237,
2006-07,19728.437,
2006-10,41877.975,
2007-01,40437.007,
2007-04,34211.475,
2007-07,31342.030,
2007-10,46705.754,
2008-01,42713.059,
2008-04,30780.027,
2008-07,20035.011,
2008-10,30620.431,
2009-01,26200.783,
2009-04,21700.680,
2009-07,25360.917,
2009-10,38953.085,
2010-01,25045.054,
2010-04,20395.730,
2010-07,20379.480,
2010-10,37281.405,
2011-01,31832.226,
2011-04,23347.579,
2011-07,23849.200,
2011-10,33179.294,
2012-01,28284.966,
2012-04,21925.705,
2012-07,20810.269,
2012-10,30409.081,
2013-01,24780.842,
2013-04,22113.109,
2013-07,12717.600,
2013-10,28367.467,
2014-01,24022.488,Provisional value
2014-04,16976.343,Provisional value
2014-07,21324.795,Provisional value
