"",BBK01.CEL903,BBK01.CEL903_FLAGS
"",Non-MMF investment fund shares debtor: Total                                   creditor: MFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:48:26,
1999-01,3.1,
1999-04,7.2,
1999-07,1.8,
1999-10,7.6,
2000-01,2.3,
2000-04,3.4,
2000-07,4.8,
2000-10,3.9,
2001-01,2.9,
2001-04,1.1,
2001-07,0.5,
2001-10,3.5,
2002-01,-4.4,
2002-04,1.4,
2002-07,-2.2,
2002-10,6.7,
2003-01,-1.1,
2003-04,2.0,
2003-07,1.7,
2003-10,-2.8,
2004-01,2.7,
2004-04,0.2,
2004-07,0.2,
2004-10,5.3,
2005-01,6.4,
2005-04,4.2,
2005-07,4.8,
2005-10,5.3,
2006-01,4.7,
2006-04,-0.2,
2006-07,13.1,
2006-10,9.5,
2007-01,-8.7,
2007-04,0.0,
2007-07,-8.8,
2007-10,-6.9,
2008-01,-2.4,
2008-04,-11.4,
2008-07,-2.5,
2008-10,-6.3,
2009-01,-1.9,
2009-04,1.3,
2009-07,2.1,
2009-10,-6.4,
2010-01,8.0,
2010-04,-6.2,
2010-07,-3.7,
2010-10,-10.9,
2011-01,0.1,
2011-04,-0.7,
2011-07,-4.2,
2011-10,-4.5,
2012-01,-3.0,
2012-04,-2.5,
2012-07,2.6,
2012-10,2.6,
2013-01,0.5,
2013-04,0.4,
2013-07,-0.9,
2013-10,1.0,
2014-01,-0.4,
2014-04,0.5,
2014-07,1.8,
