"",BBK01.OELJ04M,BBK01.OELJ04M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:39,
2002-01,0.719,
2002-04,0.812,
2002-07,0.784,
2002-10,0.809,
2003-01,0.744,
2003-04,0.750,
2003-07,0.773,
2003-10,0.823,
2004-01,0.753,
2004-04,0.774,
2004-07,0.844,
2004-10,0.826,
2005-01,0.774,
2005-04,0.784,
2005-07,0.805,
2005-10,0.978,
2006-01,0.940,
2006-04,0.877,
2006-07,0.940,
2006-10,0.906,
2007-01,0.986,
2007-04,1.048,
2007-07,0.991,
2007-10,0.958,
2008-01,1.063,
2008-04,1.080,
2008-07,1.389,
2008-10,1.311,
2009-01,1.482,
2009-04,1.327,
2009-07,1.183,
2009-10,1.277,
2010-01,1.158,
2010-04,0.959,
2010-07,1.057,
2010-10,0.979,
2011-01,1.040,
2011-04,1.091,
2011-07,1.027,
2011-10,1.243,
2012-01,1.156,
2012-04,1.086,
2012-07,1.128,
2012-10,1.077,
2013-01,0.979,
2013-04,0.984,
2013-07,0.990,
2013-10,0.879,
2014-01,0.901,
2014-04,0.835,
2014-07,0.839,
