"",BBFN1.M.DE.N.1.L.EG.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.EG.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents / Total / Egypt,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:19:38,
1994-12,0.210,
1995-01,0.208,
1995-02,0.218,
1995-03,0.215,
1995-04,0.234,
1995-05,0.243,
1995-06,0.238,
1995-07,0.231,
1995-08,0.215,
1995-09,0.177,
1995-10,0.169,
1995-11,0.181,
1995-12,0.205,
1996-01,0.197,
1996-02,0.203,
1996-03,0.214,
1996-04,0.248,
1996-05,0.253,
1996-06,0.257,
1996-07,0.267,
1996-08,0.270,
1996-09,0.271,
1996-10,0.282,
1996-11,0.300,
1996-12,0.269,
1997-01,0.287,
1997-02,0.290,
1997-03,0.272,
1997-04,0.291,
1997-05,0.279,
1997-06,0.256,
1997-07,0.270,
1997-08,0.256,
1997-09,0.276,
1997-10,0.309,
1997-11,0.321,
1997-12,0.344,
1998-01,0.355,
1998-02,0.371,
1998-03,0.359,
1998-04,0.387,
1998-05,0.403,
1998-06,0.413,
1998-07,0.426,
1998-08,0.429,
1998-09,0.451,
1998-10,0.440,
1998-11,0.483,
1998-12,0.484,
1999-01,0.409,
1999-02,0.423,
1999-03,0.394,
1999-04,0.369,
1999-05,0.372,
1999-06,0.400,
1999-07,0.433,
1999-08,0.346,
1999-09,0.361,
1999-10,0.316,
1999-11,0.343,
1999-12,0.365,
2000-01,0.395,
2000-02,0.387,
2000-03,0.438,
2000-04,0.441,
2000-05,0.450,
2000-06,0.491,
2000-07,0.482,
2000-08,0.495,
2000-09,0.481,
2000-10,0.484,
2000-11,0.483,
2000-12,0.394,
2001-01,0.340,
2001-02,0.334,
2001-03,0.334,
2001-04,0.349,
2001-05,0.349,
2001-06,0.354,
2001-07,0.326,
2001-08,0.367,
2001-09,0.342,
2001-10,0.355,
2001-11,0.338,
2001-12,0.339,
2002-01,0.327,
2002-02,0.318,
2002-03,0.291,
2002-04,0.286,
2002-05,0.261,
2002-06,0.283,
2002-07,0.278,
2002-08,0.210,
2002-09,0.235,
2002-10,0.238,
2002-11,0.231,
2002-12,0.239,
2003-01,0.209,
2003-02,0.217,
2003-03,0.231,
2003-04,0.217,
2003-05,0.216,
2003-06,0.227,
2003-07,0.242,
2003-08,0.248,
2003-09,0.241,
2003-10,0.225,
2003-11,0.235,
2003-12,0.305,
2004-01,0.321,
2004-02,0.306,
2004-03,0.329,
2004-04,0.341,
2004-05,0.347,
2004-06,0.383,
2004-07,0.478,
2004-08,0.482,
2004-09,0.538,
2004-10,0.543,
2004-11,0.418,
2004-12,0.418,
2005-01,0.395,
2005-02,0.400,
2005-03,0.421,
2005-04,0.433,
2005-05,0.462,
2005-06,0.491,
2005-07,0.534,
2005-08,0.557,
2005-09,0.510,
2005-10,0.550,
2005-11,0.609,
2005-12,0.605,
2006-01,0.617,
2006-02,0.672,
2006-03,0.674,
2006-04,0.680,
2006-05,0.679,
2006-06,0.697,
2006-07,0.731,
2006-08,0.748,
2006-09,0.718,
2006-10,0.617,
2006-11,0.630,
2006-12,0.576,
2007-01,0.585,
2007-02,0.629,
2007-03,0.563,
2007-04,0.589,
2007-05,0.507,
2007-06,0.619,
2007-07,0.651,
2007-08,0.668,
2007-09,0.694,
2007-10,0.737,
2007-11,0.768,
2007-12,0.803,
2008-01,0.857,
2008-02,0.918,
2008-03,0.928,
2008-04,1.013,
2008-05,1.078,
2008-06,1.100,
2008-07,1.118,
2008-08,1.161,
2008-09,1.153,
2008-10,1.202,
2008-11,1.221,
2008-12,1.247,
2009-01,1.071,
2009-02,1.066,
2009-03,1.067,
2009-04,1.049,
2009-05,1.056,
2009-06,1.069,
2009-07,1.032,
2009-08,1.004,
2009-09,0.977,
2009-10,0.970,
2009-11,0.989,
2009-12,1.080,
2010-01,1.083,
2010-02,1.079,
2010-03,1.128,
2010-04,1.122,
2010-05,1.138,
2010-06,1.179,
2010-07,1.175,
2010-08,1.137,
2010-09,1.149,
2010-10,1.142,
2010-11,1.155,
2010-12,1.158,
2011-01,1.154,
2011-02,1.116,
2011-03,1.164,
2011-04,1.141,
2011-05,1.137,
2011-06,1.195,
2011-07,1.209,
2011-08,1.247,
2011-09,1.152,
2011-10,1.157,
2011-11,1.168,
2011-12,1.168,
2012-01,1.147,
2012-02,1.146,
2012-03,1.147,
2012-04,1.175,
2012-05,1.169,
2012-06,1.111,
2012-07,1.099,
2012-08,1.100,
2012-09,1.144,
2012-10,1.164,
2012-11,1.238,
2012-12,1.236,
2013-01,1.253,
2013-02,1.260,
2013-03,1.287,
2013-04,1.246,
2013-05,1.254,
2013-06,1.274,
2013-07,1.272,
2013-08,1.247,
2013-09,1.237,
2013-10,1.246,
2013-11,1.250,
2013-12,1.251,
2014-01,1.175,
2014-02,1.185,
2014-03,1.206,
2014-04,1.195,
2014-05,1.190,
2014-06,1.201,
2014-07,1.194,
2014-08,1.183,
2014-09,1.169,
2014-10,1.181,
2014-11,1.205,
2014-12,1.211,
