"",BBK01.OEAA09P,BBK01.OEAA09P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:50,
2002-01,21.347,
2002-04,21.520,
2002-07,21.521,
2002-10,21.206,
2003-01,21.662,
2003-04,21.695,
2003-07,21.490,
2003-10,21.479,
2004-01,21.387,
2004-04,21.542,
2004-07,21.839,
2004-10,21.762,
2005-01,22.059,
2005-04,22.270,
2005-07,22.382,
2005-10,22.264,
2006-01,22.363,
2006-04,22.523,
2006-07,22.369,
2006-10,22.653,
2007-01,22.507,
2007-04,22.490,
2007-07,22.680,
2007-10,22.932,
2008-01,22.991,
2008-04,23.268,
2008-07,23.290,
2008-10,23.261,
2009-01,23.216,
2009-04,23.611,
2009-07,23.650,
2009-10,23.937,
2010-01,24.011,
2010-04,24.391,
2010-07,24.318,
2010-10,24.788,
2011-01,25.066,
2011-04,25.394,
2011-07,25.453,
2011-10,25.807,
2012-01,26.075,
2012-04,26.538,
2012-07,26.657,
2012-10,26.756,
2013-01,26.765,
2013-04,26.948,
2013-07,27.012,
2013-10,27.004,
2014-01,26.904,
2014-04,26.954,
2014-07,27.006,
