"",BBK01.OEYL02L,BBK01.OEYL02L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:20:02,
2002-01,0.258,
2002-04,0.285,
2002-07,0.255,
2002-10,0.192,
2003-01,0.275,
2003-04,0.290,
2003-07,0.312,
2003-10,0.252,
2004-01,0.272,
2004-04,0.360,
2004-07,0.609,
2004-10,0.338,
2005-01,0.287,
2005-04,0.409,
2005-07,0.320,
2005-10,0.298,
2006-01,0.311,
2006-04,0.286,
2006-07,0.323,
2006-10,0.217,
2007-01,0.175,
2007-04,0.159,
2007-07,0.214,
2007-10,0.144,
2008-01,0.127,
2008-04,0.171,
2008-07,0.126,
2008-10,0.109,
2009-01,0.132,
2009-04,0.161,
2009-07,0.134,
2009-10,0.117,
2010-01,0.156,
2010-04,0.219,
2010-07,0.120,
2010-10,0.108,
2011-01,0.102,
2011-04,0.099,
2011-07,0.141,
2011-10,0.119,
2012-01,0.111,
2012-04,0.136,
2012-07,0.133,
2012-10,0.142,
2013-01,0.135,
2013-04,0.113,
2013-07,0.102,
2013-10,0.111,
2014-01,0.122,
2014-04,0.129,
2014-07,0.127,
