"",BBK01.OECL09N,BBK01.OECL09N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:15,
2002-01,0.493,
2002-04,0.494,
2002-07,0.488,
2002-10,0.488,
2003-01,0.460,
2003-04,0.449,
2003-07,0.427,
2003-10,0.428,
2004-01,0.422,
2004-04,0.413,
2004-07,0.390,
2004-10,0.410,
2005-01,0.452,
2005-04,0.430,
2005-07,0.396,
2005-10,0.399,
2006-01,0.387,
2006-04,0.413,
2006-07,0.435,
2006-10,0.468,
2007-01,0.570,
2007-04,0.627,
2007-07,0.696,
2007-10,0.791,
2008-01,0.833,
2008-04,0.889,
2008-07,0.946,
2008-10,1.603,
2009-01,1.640,
2009-04,1.644,
2009-07,1.660,
2009-10,1.325,
2010-01,1.053,
2010-04,1.014,
2010-07,0.974,
2010-10,1.074,
2011-01,1.180,
2011-04,1.235,
2011-07,1.255,
2011-10,1.242,
2012-01,1.248,
2012-04,1.203,
2012-07,1.122,
2012-10,0.940,
2013-01,0.752,
2013-04,0.640,
2013-07,0.600,
2013-10,0.564,
2014-01,0.541,
2014-04,0.513,
2014-07,0.648,
