"",BBFB1.Q.N.DE.CN.S1.S1.T.B.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.CN.S1.S1.T.B.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods (fob/fob) / Balance / China,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:34:01,
1991-01,-1050.465,
1991-04,-773.670,
1991-07,-997.386,
1991-10,-821.345,
1992-01,-886.775,
1992-04,-540.673,
1992-07,-700.956,
1992-10,-421.173,
1993-01,-266.347,
1993-04,-75.014,
1993-07,-488.041,
1993-10,-618.537,
1994-01,-708.656,
1994-04,-236.225,
1994-07,-639.501,
1994-10,-685.289,
1995-01,-729.520,
1995-04,-619.384,
1995-07,-769.412,
1995-10,-465.887,
1996-01,-1172.914,
1996-04,-751.230,
1996-07,-1089.923,
1996-10,-368.136,
1997-01,-1561.434,
1997-04,-1253.864,
1997-07,-1473.450,
1997-10,-1137.911,
1998-01,-1615.932,
1998-04,-1054.851,
1998-07,-1474.750,
1998-10,-1279.593,
1999-01,-1473.950,
1999-04,-1146.225,
1999-07,-1769.782,
1999-10,-2234.702,
2000-01,-2298.794,
2000-04,-1778.648,
2000-07,-2205.197,
2000-10,-2436.429,
2001-01,-2110.150,
2001-04,-1239.938,
2001-07,-1809.252,
2001-10,-2176.958,
2002-01,-1573.906,
2002-04,-1200.410,
2002-07,-1149.690,
2002-10,-2347.491,
2003-01,-1875.759,
2003-04,-1189.053,
2003-07,-869.041,
2003-10,-2784.481,
2004-01,-1550.444,
2004-04,-1522.839,
2004-07,-3334.181,
2004-10,-4749.336,
2005-01,-4080.244,
2005-04,-4330.065,
2005-07,-4302.081,
2005-10,-6384.526,
2006-01,-6141.270,
2006-04,-4818.332,
2006-07,-4676.534,
2006-10,-6651.380,
2007-01,-7065.400,
2007-04,-4167.688,
2007-07,-6276.278,
2007-10,-7084.832,
2008-01,-5777.228,
2008-04,-3836.248,
2008-07,-7438.483,
2008-10,-7877.127,
2009-01,-5968.134,
2009-04,-2985.684,
2009-07,-4137.925,
2009-10,-3943.846,
2010-01,-3823.362,
2010-04,-4050.161,
2010-07,-6381.643,
2010-10,-4765.563,
2011-01,-2538.443,
2011-04,-1934.692,
2011-07,-2886.093,
2011-10,-2700.054,
2012-01,-1176.188,
2012-04,779.944,
2012-07,-2386.642,
2012-10,-2532.699,
2013-01,-1200.394,
2013-04,1351.724,
2013-07,-776.442,
2013-10,983.085,
2014-01,53.101,Provisional value
2014-04,3049.072,Provisional value
2014-07,611.827,Provisional value
