"",BBK01.OECI08S,BBK01.OECI08S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:10,
2002-01,0.446,
2002-04,0.347,
2002-07,0.350,
2002-10,0.365,
2003-01,0.354,
2003-04,0.335,
2003-07,0.375,
2003-10,0.345,
2004-01,0.338,
2004-04,0.330,
2004-07,0.359,
2004-10,0.374,
2005-01,1.321,
2005-04,1.321,
2005-07,1.333,
2005-10,1.341,
2006-01,1.352,
2006-04,1.341,
2006-07,1.274,
2006-10,1.266,
2007-01,1.297,
2007-04,1.284,
2007-07,1.254,
2007-10,1.268,
2008-01,1.265,
2008-04,1.302,
2008-07,1.263,
2008-10,1.253,
2009-01,1.283,
2009-04,1.333,
2009-07,1.400,
2009-10,1.467,
2010-01,1.492,
2010-04,1.471,
2010-07,1.483,
2010-10,1.500,
2011-01,1.484,
2011-04,1.471,
2011-07,1.468,
2011-10,1.473,
2012-01,1.579,
2012-04,1.561,
2012-07,1.563,
2012-10,1.608,
2013-01,1.613,
2013-04,1.598,
2013-07,1.570,
2013-10,1.572,
2014-01,1.561,
2014-04,1.532,
2014-07,1.566,
